Voter,Greeting,Vote,date
Greenspan,Chairman,Yes,19940204
McDonough,Vice Chairman,Yes,19940204
Broaddus,President,Yes,19940204
Forrestal,President,Yes,19940204
Jordan,President,Yes,19940204
Kelley,Governor,Yes,19940204
Laware,Governor,Yes,19940204
Lindsey,Governor,Yes,19940204
Parry,President,Yes,19940204
Phillips,Governor,Yes,19940204
