Voters,Greeting,Vote,date
Bernanke,Chairman,Yes,20070131
Geithner,Vice Chairman,Yes,20070131
Bies,Governor,Yes,20070131
Hoenig,President,Yes,20070131
Kohn,Governor,Yes,20070131
Kroszner,Governor,Yes,20070131
Minehan,President,Yes,20070131
Mishkin,Governor,Yes,20070131
Moskow,President,Yes,20070131
Poole,President,Yes,20070131
Warsh,Governor,Yes,20070131
