Voters,Greeting,Vote,date
Greenspan,Chairman,Yes,20000516
McDonough,Vice Chairman,Yes,20000516
Broaddus,Preisdent,Yes,20000516
Ferguson,Governor,Yes,20000516
Gramlich,Governor,Yes,20000516
Guynn,President,Yes,20000516
Jordan,President,Yes,20000516
Kelley,Governor,Yes,20000516
Meyer,Governor,Yes,20000516
Parry,President,Yes,20000516
