Voter,Greeting,Vote,date
Greenspan,Chairman,Yes,19950706
McDonough,Vice Chairman,Yes,19950706
Blinder,Governor,Yes,19950706
Hoenig,President,No,19950706
Kelley,Governor,Yes,19950706
Lindsey,Governor,Yes,19950706
Melzer,President,Yes,19950706
Minehan,President,Yes,19950706
Moskow,President,Yes,19950706
Phillips,Governor,Yes,19950706
Yellen,Governor,Yes,19950706
