Voters,Greeting,Vote,date
Bernanke,Chairman,Yes,20101103
Dudley,Vice Chairman,Yes,20101103
Bullard,President,Yes,20101103
Duke,Governor,Yes,20101103
Hoenig,President,No,20101103
Pianalto,President,Yes,20101103
Rosengren,President,Yes,20101103
Tarullo,Governor,Yes,20101103
Warsh,Governor,Yes,20101103
Yellen,Governor,Yes,20101103
