Voters,Greeting,Vote,date
Bernanke,Chairman,Yes,20130320
Dudley,Vice Chairman,Yes,20130320
Bullard,President,Yes,20130320
Duke,Governor,Yes,20130320
Evans,President,Yes,20130320
George,President,No,20130320
Powell,Governor,Yes,20130320
Raskin,Governor,Yes,20130320
Rosengren,President,Yes,20130320
Stein,Governor,Yes,20130320
Tarullo,Governor,Yes,20130320
Yellen,Governor,Yes,20130320
