Voter,Greeting,Vote,date
Greenspan,Chairman,Yes,20040921
Geithner,Vice Chairman,Yes,20040921
Bernanke,Governor,Yes,20040921
Bies,Governor,Yes,20040921
Ferguson,Governor,Yes,20040921
Gramlich,Governor,Yes,20040921
Hoenig,Preisdent,Yes,20040921
Kohn,Governor,Yes,20040921
Minehan,President,Yes,20040921
Olson,Governor,Yes,20040921
Pianalto,President,Yes,20040921
Poole, President,Yes,20040921
