Voters,Greeting,Vote,date
Bernanke,Chairman,Yes,20070807
Geithner,Vice Chairman,Yes,20070807
Hoenig,President,Yes,20070807
Kohn,Governor,Yes,20070807
Kroszner,Governor,Yes,20070807
Mishkin,Governor,Yes,20070807
Moskow,President,Yes,20070807
Poole,President,Yes,20070807
Rosengren,President,Yes,20070807
Warsh,Governor,Yes,20070807
