Voters,Greeting,Vote,date,,,
Greenspan,Chairman,Yes,20031209,,,
Geithner,Vice Chairman,Yes,20031209,,,
Bernanke,Governor,Yes,20031209,,,
Bies,Governor,Yes,20031209,,,
Broaddus,President,Yes,20031209,,,
Ferguson,Governor,Yes,20031209,,,
Gramlich,Governor,Yes,20031209,,,
Guynn,Presidnet,Yes,20031209,,,
Kohn,Governor,Yes,20031209,,,
Moskow,President,Yes,20031209,,,
Olson,Governor,Yes,20031209,,,
Parry,President,Yes,20031209,,,
