,Voter_transcript,date,Attendance_transcript,Attendees,Male,Female,Percent Male Att,Percent Female Att,ATT NOT VOTERS,Female Voters,Male Voters,Female NON Voters,Male NON Voters,Number of Voters,percent_fem_voter,percent_male_voter,Number of NonVoters,percent_female_NONvoters,percent_male_NONvoters
10,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19950523_voters.csv,19950523,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19950523_att.csv,48,42,6,0.875,0.125,37,3,8,0,0,11,0.2727272727272727,0.7272727272727273,0,,
11,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19950706_voters.csv,19950706,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19950706_att.csv,50,42,8,0.84,0.16,39,3,8,0,0,11,0.2727272727272727,0.7272727272727273,0,,
12,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19950822_voters.csv,19950822,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19950822_att.csv,49,40,9,0.8163265306122449,0.1836734693877551,38,3,8,0,0,11,0.2727272727272727,0.7272727272727273,0,,
13,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19950926_voters.csv,19950926,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19950926_att.csv,51,43,8,0.8431372549019608,0.1568627450980392,40,3,8,0,0,11,0.2727272727272727,0.7272727272727273,0,,
14,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19951115_voters.csv,19951115,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19951115_att.csv,52,46,6,0.8846153846153846,0.1153846153846153,41,1,4,0,0,5,0.2,0.8,0,,
15,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19951219_voters.csv,19951219,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19951219_att.csv,49,42,7,0.8571428571428571,0.1428571428571428,38,2,4,0,0,6,0.3333333333333333,0.6666666666666666,0,,
16,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19960131_voters.csv,19960131,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19960131_att.csv,50,43,7,0.86,0.14,40,2,7,0,0,9,0.2222222222222222,0.7777777777777778,0,,
17,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19960326_voters.csv,19960326,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19960326_att.csv,47,42,5,0.8936170212765957,0.1063829787234042,37,2,7,0,0,9,0.2222222222222222,0.7777777777777778,0,,
18,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19960521_voters.csv,19960521,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19960521_att.csv,50,43,7,0.86,0.14,40,2,7,0,0,9,0.2222222222222222,0.7777777777777778,0,,
19,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19960703_voters.csv,19960703,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19960703_att.csv,59,49,10,0.8305084745762712,0.1694915254237288,47,3,8,0,0,11,0.2727272727272727,0.7272727272727273,0,,
20,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19960820_voters.csv,19960820,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19960820_att.csv,48,41,7,0.8541666666666666,0.1458333333333333,36,3,7,0,0,10,0.3,0.7,0,,
21,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19960924_voters.csv,19960924,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19960924_att.csv,53,46,7,0.8679245283018868,0.1320754716981132,41,3,7,0,0,10,0.3,0.7,0,,
22,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19961113_voters.csv,19961113,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19961113_att.csv,50,43,7,0.86,0.14,38,3,8,0,0,11,0.2727272727272727,0.7272727272727273,0,,
23,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19961217_voters.csv,19961217,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19961217_att.csv,51,46,5,0.9019607843137256,0.0980392156862745,39,3,8,0,0,11,0.2727272727272727,0.7272727272727273,0,,
24,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19970205_voters.csv,19970205,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19970205_att.csv,56,48,8,0.8571428571428571,0.1428571428571428,46,2,8,0,0,10,0.2,0.8,0,,
25,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19970325_voters.csv,19970325,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19970325_att.csv,48,44,4,0.9166666666666666,0.0833333333333333,38,2,8,0,0,10,0.2,0.8,0,,
26,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19970520_voters.csv,19970520,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19970520_att.csv,50,45,5,0.9,0.1,40,2,8,0,0,10,0.2,0.8,0,,
27,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19970702_voters.csv,19970702,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19970702_att.csv,56,46,10,0.8214285714285714,0.1785714285714285,46,2,8,0,0,10,0.2,0.8,0,,
28,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19970819_voters.csv,19970819,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19970819_att.csv,48,41,7,0.8541666666666666,0.1458333333333333,38,2,8,0,0,10,0.2,0.8,0,,
29,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19970930_voters.csv,19970930,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19970930_att.csv,50,43,7,0.86,0.14,40,2,8,0,0,10,0.2,0.8,0,,
30,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19971112_voters.csv,19971112,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19971112_att.csv,53,46,7,0.8679245283018868,0.1320754716981132,41,2,9,0,0,11,0.18181818181818182,0.8181818181818182,0,,
31,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19971216_voters.csv,19971216,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19971216_att.csv,54,47,7,0.8703703703703703,0.1296296296296296,42,2,9,0,0,11,0.18181818181818182,0.8181818181818182,0,,
32,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19980204_voters.csv,19980204,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19980204_att.csv,56,48,8,0.8571428571428571,0.1428571428571428,44,2,8,0,0,10,0.2,0.8,0,,
33,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19980331_voters.csv,19980331,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19980331_att.csv,53,46,7,0.8679245283018868,0.1320754716981132,41,2,9,0,0,11,0.18181818181818182,0.8181818181818182,0,,
34,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19980519_voters.csv,19980519,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19980519_att.csv,53,45,8,0.8490566037735849,0.1509433962264151,41,2,9,0,0,11,0.18181818181818182,0.8181818181818182,0,,
35,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19980701_voters.csv,19980701,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19980701_att.csv,58,49,9,0.8448275862068966,0.1551724137931034,47,1,9,0,0,10,0.1,0.9,0,,
36,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19980818_voters.csv,19980818,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19980818_att.csv,52,46,6,0.8846153846153846,0.1153846153846153,41,1,9,0,0,10,0.1,0.9,0,,
37,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19980929_voters.csv,19980929,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19980929_att.csv,54,48,6,0.8888888888888888,0.1111111111111111,43,1,9,0,0,10,0.1,0.9,0,,
38,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19981117_voters.csv,19981117,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19981117_att.csv,52,45,7,0.8653846153846154,0.1346153846153846,41,1,9,0,0,10,0.1,0.9,0,,
39,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\19981222_voters.csv,19981222,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\19981222_att.csv,51,43,8,0.8431372549019608,0.1568627450980392,40,1,9,0,0,10,0.1,0.9,0,,
