date,shawdow_i_rate
2007-11-01,3.687703349
2007-12-01,3.698654342
2008-01-01,2.655856103
2008-02-01,2.13786591
2008-03-01,1.874528626
2008-04-01,1.812423363
2008-05-01,1.956437103
2008-06-01,2.054012076
2008-07-01,2.052309765
2008-08-01,2.126082808
2008-09-01,1.911304262
2008-10-01,1.83924343
2008-11-01,1.41995424
2008-12-01,0.649730964
2009-01-01,0.611179099
2009-02-01,0.876102515
2009-03-01,0.7502452
2009-04-01,0.426628501
2009-05-01,0.206639056
2009-06-01,0.021533682
2009-07-01,-0.117377577
2009-08-01,-0.282742691
2009-09-01,-0.406046109
2009-10-01,-0.474629614
2009-11-01,-0.6103968
2009-12-01,-0.153977591
2010-01-01,-0.44770034
2010-02-01,-0.544687852
2010-03-01,-0.476349443
2010-04-01,-0.466496
2010-05-01,-0.482831832
2010-06-01,-0.542088201
2010-07-01,-0.589675202
2010-08-01,-0.698544078
2010-09-01,-0.795698936
2010-10-01,-0.995158134
2010-11-01,-0.956014191
2010-12-01,-0.884818633
2011-01-01,-1.011230525
2011-02-01,-1.091306507
2011-03-01,-0.991459628
2011-04-01,-1.066277578
2011-05-01,-1.140435034
2011-06-01,-1.121861818
2011-07-01,-1.19226094
2011-08-01,-1.377122116
2011-09-01,-1.402451421
2011-10-01,-1.437242426
2011-11-01,-1.483534153
2011-12-01,-1.466434244
2012-01-01,-1.539782763
2012-02-01,-1.451684409
2012-03-01,-1.266087244
2012-04-01,-1.262017722
2012-05-01,-1.237223611
2012-06-01,-1.111065451
2012-07-01,-1.178772881
2012-08-01,-1.258667947
2012-09-01,-1.360463222
2012-10-01,-1.338974196
2012-11-01,-1.42284551
2012-12-01,-1.429900067
2013-01-01,-1.357627814
2013-02-01,-1.422477971
2013-03-01,-1.440588796
2013-04-01,-1.523674803
2013-05-01,-1.269019653
2013-06-01,-0.969519938
2013-07-01,-1.522271165
2013-08-01,-1.666404395
2013-09-01,-1.802347706
2013-10-01,-1.852104689
2013-11-01,-1.998941052
2013-12-01,-2.133234972
2014-01-01,-2.376123235
2014-02-01,-2.542284974
2014-03-01,-2.624386859
2014-04-01,-2.891785801
2014-05-01,-2.98564267
2014-06-01,-2.888581527
2014-07-01,-2.836697383
2014-08-01,-2.892561624
2014-09-01,-2.805138907
2014-10-01,-2.801709469
2014-11-01,-2.768344317
2014-12-01,-2.420747927
2015-01-01,-2.268755007
2015-02-01,-1.973647789
2015-03-01,-1.808445076
2015-04-01,-1.594953162
2015-05-01,-1.433637115
2015-06-01,-1.402027995
2015-07-01,-1.288219508
2015-08-01,-0.920617427
2015-09-01,-0.742078596
2015-10-01,-0.532405067
2015-11-01,-0.004999651
2015-12-01,0.257343933
2016-01-01,0.401942967
2016-02-01,0.525883588
2016-03-01,0.506534787
2016-04-01,0.407831709
2016-05-01,0.484172489
2016-06-01,0.417986942
2016-07-01,0.470311803
2016-08-01,0.449855479
2016-09-01,0.510288419
2016-10-01,0.522724628
2016-11-01,0.4292559
2016-12-01,0.422156164
2017-01-01,0.3791602
2017-02-01,0.391065588
2017-03-01,0.636018155
2017-04-01,0.846359595
2017-05-01,1.029010671
2017-06-01,1.056183292
2017-07-01,1.079669606
2017-08-01,1.106300202
2017-09-01,1.104535591
2017-10-01,1.156566976
2017-11-01,1.283581415
2017-12-01,1.40846047
2018-01-01,1.399485365
2018-02-01,1.546020687
2018-03-01,1.646319034
2018-04-01,1.705115737
2018-05-01,1.769170334
2018-06-01,1.890022494
2018-07-01,1.918671458
2018-08-01,2.010714082
2018-09-01,2.165418135
2018-10-01,2.29952412
2018-11-01,2.403006749
2018-12-01,2.530868814
2019-01-01,2.494002948
2019-02-01,2.455418962
2019-03-01,2.40345582
2019-04-01,2.408730447
2019-05-01,2.414468224
2019-06-01,2.185719703
2019-07-01,2.172024416
2019-08-01,2.020460757
2019-09-01,1.958368142
2019-10-01,1.655518738
2019-11-01,1.638591041
2019-12-01,1.608781137
2020-01-01,1.628595281
2020-02-01,1.413811051
2020-03-01,0.691363937
2020-04-01,0.497377727
2020-05-01,0.479820931
2020-06-01,0.403812324
2020-07-01,0.252578368
2020-08-01,0.260382931
2020-09-01,0.079072559
2020-10-01,0.17197914
2020-11-01,-0.226622156
2020-12-01,-0.287665704
2021-01-01,-0.415645088
2021-02-01,-0.479678779
2021-03-01,-1.561513881
2021-04-01,-1.79975298
2021-05-01,-1.998300619
2021-06-01,-1.826687254
2021-07-01,-1.889870603
2021-08-01,-1.796457407
2021-09-01,-1.809649309
2021-10-01,-1.702101473
2021-11-01,-1.849794764
2021-12-01,-1.154818507
2022-01-01,-0.197424793
2022-02-01,0.206380642
2022-03-01,0.489058577
2022-04-01,0.955174488
2022-05-01,1.121149438
2022-06-01,2.758209458
2022-07-01,2.795111701
2022-08-01,3.01750042
2022-09-01,3.739941274
2022-10-01,4.486493302
2022-11-01,4.849382264
2022-12-01,4.917323295
2023-01-01,5.117212408
2023-02-01,5.55067795
2023-03-01,5.089098382
2023-04-01,5.358176166
2023-05-01,5.789878584
2023-06-01,6.258901896
