,Speaker,transcript_text,clean_transcript_text,date
0,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN I would like to welcome Craig Hakkio from the Kansas City Bank who is attending his first meeting He is seated here somewhere,I would like to welcome Craig Hakkio from the Kansas City Bank who is attending his first meeting He is seated here somewhere,19970205
1,MS MINEHAN,MS MINEHAN About where Tom Davis used to sit,About where Tom Davis used to sit,19970205
2,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN I tum to Governor Rivlin to initiate our proceedings,I tum to Governor Rivlin to initiate our proceedings,19970205
3,MS RIVLIN,MS RIVLIN It is my pleasant duty to open the meeting and to ask if there are nominations for Chair of the fomc Governor Kelley,It is my pleasant duty to open the meeting and to ask if there are nominations for Chair of the fomc Governor Kelley,19970205
4,MR KELLEY,MR KELLEY I will be happy to nominate Chairman Greenspan for that role ,I will be happy to nominate Chairman Greenspan for that role,19970205
5,MS RIVLIN,MS RIVLIN Is there a second?SPEAKER(?) Second,Is there a second?SPEAKER(?) Second,19970205
6,MS RIVLIN,MS RIVLIN We have a second All in favor? SEVERAL Aye,We have a second All in favor? SEVERAL Aye,19970205
7,MS RIVLIN,MS RIVLIN Opposed? Mr Chairman you have won! ,Opposed? Mr Chairman you have won!,19970205
8,VICE CHAIRMAN MCDONOUGH,VICE CHAIRMAN MCDONOUGH Surprise surprise! ,Surprise surprise!,19970205
9,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN I thought I had voted no ,I thought I had voted no,19970205
10,MS RIVLIN,MS RIVLIN Shall I proceed?,Shall I proceed?,19970205
11,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN Yes would you move the other nomination? ,Yes would you move the other nomination?,19970205
12,MS RIVLIN,MS RIVLIN Is there a nomination for Vice Chair of the Federal Open MarketCommittee?,Is there a nomination for Vice Chair of the Federal Open MarketCommittee?,19970205
13,MR BROADDUS,MR BROADDUS I nominate President McDonough of the New York Fed ,I nominate President McDonough of the New York Fed,19970205
14,MS RIVLIN,MS RIVLIN President McDonough Now there is an original idea! [Laughter],President McDonough Now there is an original idea! [Laughter],19970205
15,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN I hesitatingly second the motion [Laughter] ,I hesitatingly second the motion [Laughter],19970205
16,MS RNLIN,MS RNLIN All in favor?SEVERAL Aye,All in favor?SEVERAL Aye,19970205
17,MS RNLIN,MS RNLIN All opposed? The ayes have it Congratulations Mr McDonoughBack to you Mr Chairman,All opposed? The ayes have it Congratulations Mr McDonoughBack to you Mr Chairman,19970205
18,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN I congratulate the Vice Chairman The next item is to elect the staff officers and Norm has a list,I congratulate the Vice Chairman The next item is to elect the staff officers and Norm has a list,19970205
