,Speaker,transcript_text,clean_transcript_text,date
0,CHAIR YELLEN,CHAIR YELLEN Good afternoon everyone Let’s get under way Today’s meeting as usual will be a joint meeting of the fomc and the Board of Governors so I need a motion tose the Board meeting,Good afternoon everyone Let’s get under way Today’s meeting as usual will be a joint meeting of the fomc and the Board of Governors so I need a motion tose the Board meeting,20160921
1,MR FISCHER,MR FISCHER So moved,So moved,20160921
2,CHAIR YELLEN,CHAIR YELLEN Thank you Without objection Our first agenda item is the selection of a Committee officer As many of you know Michael Held who is seated near the anteroom door has been appointed general counsel and executive vice president of the Federal Reserve Bank of New York I am pleased to recommend that the Committee select Michael as its deputy general counsel Consistent with the Committee’s standard practice for appointment of its officers this selection would be effective until the Committee’s first regularly scheduled meeting in 2017 Michael has been with the New York Federal Reserve for the past 18 years and is a highly experienced central banking attorney Vice Chairman would you like to make a comment?,Thank you Without objection Our first agenda item is the selection of a Committee officer As many of you know Michael Held who is seated near the anteroom door has been appointed general counsel and executive vice president of the Federal Reserve Bank of New York I am pleased to recommend that the Committee select Michael as its deputy general counsel Consistent with the Committee’s standard practice for appointment of its officers this selection would be effective until the Committee’s first regularly scheduled meeting in 2017 Michael has been with the New York Federal Reserve for the past 18 years and is a highly experienced central banking attorney Vice Chairman would you like to make a comment?,20160921
3,VICE CHAIRMAN DUDLEY,VICE CHAIRMAN DUDLEY Yes First I’d like to second the notion of him becoming the deputy general counsel for the fomc He has big shoes to fill with Tom Baxter retiring from the New York Fed but I’m sure he will do so very ably I’ve worked with him for many years and I very much trust his knowledge and his judgment It’s nice to have him here at the fomc on a more permanent basis taking a seat next to Scott who’s not here today but— [laughter]—we will be seeing Michael there on a regular basis I’m very pleased Thank you,Yes First I’d like to second the notion of him becoming the deputy general counsel for the fomc He has big shoes to fill with Tom Baxter retiring from the New York Fed but I’m sure he will do so very ably I’ve worked with him for many years and I very much trust his knowledge and his judgment It’s nice to have him here at the fomc on a more permanent basis taking a seat next to Scott who’s not here today but— [laughter]—we will be seeing Michael there on a regular basis I’m very pleased Thank you,20160921
4,CHAIR YELLEN,CHAIR YELLEN Thank you Any discussion or any objections? Okay Seeing none the selection is approved unanimously by the Committee And congratulations Michael we are looking forward to working with you in your new roleThat takes us to the second agenda item which concerns proposed revisions of the documents governing foreign currency operations As you know the staff has been engaged in a long-term effort to develop proposed revisions to the Authorization for Foreign Currency Operations the Foreign Currency Directive and other related documents You all received memos on the proposal from the staff in mid-August and last week we sent a short additional memo from the Foreign Currency Subcommittee This project has required a lot of careful analysis involving staff from both the New York Federal Reserve and the Board That work was carried out under the general oversight of the Subcommittee and I’d like to thank the staff for what seems to me to be an excellent proposal In my view it meets the important objectives of the projectI might note that the proposal provides that the Subcommittee in consultation with the Committee may give additional instructions to the Desk regarding holdings of foreign currencies As I mentioned the Subcommittee recently sent the Committee a short memo which included draft instructions that the Subcommittee would plan to issue to the Desk Unless there are objections the Subcommittee would issue these instructions within a few days following this meeting The Committee will not be asked to vote on those instructions Let me now turn to Simon who’s going to summarize the proposal,Thank you Any discussion or any objections? Okay Seeing none the selection is approved unanimously by the Committee And congratulations Michael we are looking forward to working with you in your new roleThat takes us to the second agenda item which concerns proposed revisions of the documents governing foreign currency operations As you know the staff has been engaged in a long-term effort to develop proposed revisions to the Authorization for Foreign Currency Operations the Foreign Currency Directive and other related documents You all received memos on the proposal from the staff in mid-August and last week we sent a short additional memo from the Foreign Currency Subcommittee This project has required a lot of careful analysis involving staff from both the New York Federal Reserve and the Board That work was carried out under the general oversight of the Subcommittee and I’d like to thank the staff for what seems to me to be an excellent proposal In my view it meets the important objectives of the projectI might note that the proposal provides that the Subcommittee in consultation with the Committee may give additional instructions to the Desk regarding holdings of foreign currencies As I mentioned the Subcommittee recently sent the Committee a short memo which included draft instructions that the Subcommittee would plan to issue to the Desk Unless there are objections the Subcommittee would issue these instructions within a few days following this meeting The Committee will not be asked to vote on those instructions Let me now turn to Simon who’s going to summarize the proposal,20160921
5,MR POTTER,MR POTTER1 Thank you Madam Chair I’d just like to say that some of the staff involved in the project are in the room today including Paul Dozier and Mike Leahy from IF; Cindy Hull from the Desk; and Sophia Allison who is sitting next to Lorie from the Board’s Legal Division‌1 The materials used by Mr Potter are appended to this transcript (appendix 1)I’ll be discussing important changes to the Authorization for Foreign Currency Operations (the Authorization) the Foreign Currency Directive (the Directive) and the Procedural Instructions with Respect to Foreign Currency Operations As discussed in the memo the Committee received in August titled “Proposed Revisions to Authorization for Foreign Currency Operations and Related Organizational Documents” the revisions are intended to meet three objectives: first reflect the current operating environment; second clarify guidance to the Selected Bank by updating governance for each operation; and third simplify the structure of the documentsProposed changes to the document structure are summarized in the top-left panel of your exhibit The proposed documents are organized to consolidate authorizations and directions into the Authorization and the Directive respectively and to clarify governance and guidance relating to specific operation types All text authorizing an operation and any language regarding its purpose is in the Authorization while specific direction to the Selected Bank to conduct each operation is in the Directive In both documents text for each operation type is grouped together in contrast to the format of the current documents Also the existing Procedural Instructions are eliminated as language from the document is incorporated into the Authorization and Directive This proposed two-document organization structure now aligns with the one used for domestic operations The staff also proposes to move both the definition and governance of the Foreign Currency Subcommittee currently in the Authorization into the Rules of Organization and Rules of Procedure respectivelyThe staff also proposes several substantive changes to foreign currency operation procedures and governance These changes are designed to reflect the current operating environment and to clarify guidance to the Selected Bank These changes remove the discretion that the Selected Bank has in the existing governance framework to determine whether to execute foreign currency operations and how to set parameters for investing the foreign currency holdings The proposed framework now authorizes the Foreign Currency Subcommittee to both determine whether to execute interventions within specified limits and provide additional instructions regarding the management of the foreign reserves The staff proposes assigning these responsibilities to the Foreign Currency Subcommittee primarily to accommodate the often time-sensitive nature of decisions that must be made regarding implementation of intervention operations as well as to facilitate coordination with the us Treasury or foreign central banksThe proposed documents are organized into five operation types: interventions warehousing reciprocal currency arrangements us dollar and foreign liquidity swaps and foreign currency holdings I will now address major changes made to the documents according to each of these operation types Additional proposed changes are listed in the appendix of your exhibitThe top-right panel of your exhibit lists major changes to foreign exchange intervention operations The proposed documents remove the Selected Bank’s discretion to determine whether to execute as much as $600 million in interventionoperations per intermeeting period For some brief background this discretion was given to the Selected Bank in 1976 when the documents were first established a time when intervention operations were somewhat routine The Selected Bank has not used this discretion in more than 20 years However because intervention operations are now rarely conducted the proposed documents eliminate this almost 40-year-old provision The proposed documents provide that all such operations require prior approval from the Committee or Subcommittee Other limits in the existing framework on the Selected Bank’s intervention discretion including a list of authorized currencies and a $25 billion cap on the overall size of the foreign currency holdings are also eliminatedThe existing documents authorize the Subcommittee to direct the Desk to execute intervention operations up to $15 billion per intermeeting period The proposed documents increase the limit to $5 billion; any interventions above this limit could only be approved by the Committee As the existing $15 billion limit was last updated in 1993 the proposed change aligns the size of the Subcommittee’s approval authority with the more than fourfold increase in the FX market sizeThe middle-left panel of your exhibit lists major changes to the second operation type warehousing Warehousing is essentially a swap operation with the us Treasury in which its Exchange Stabilization Fund the sells foreign currency to the Selected Bank for us dollars; at the outset of the transaction the agrees to repurchase the foreign currency at a set future date and exchange rate Under current practice the Committee delegates to the Selected Bank the authority to approve Treasury requests to use the warehousing facility of up to $5 billion via the annual Desk Authorization process each January However the existing Authorization documents do not explicitly mention warehousing and instead provide only general authority for the Selected Bank to conduct operations with the To improve transparency the proposed documents include a provision expressly authorizing the$5 billion warehousing arrangement with the Treasury The proposed directive now also instructs the Subcommittee to internally approve warehousing transactions before the Selected Bank can execute them with the us TreasuryThe middle-right panel of your exhibit summarizes major changes for reciprocal currency arrangements and standing liquidity swap lines the third and fourth types of operations Reciprocal currency arrangements are swap arrangements with the central banks of Mexico and Canada that were established in 1994 under the North American Framework Agreement The existing documents authorize the Subcommittee to approve drawings up to certain size limits However because these are expected to be used only rarely the proposed documents now require the Committee to approve all drawings under these arrangementsMore familiar to the Committee are the standing liquidity swap lines These arrangements are maintained with a network of five foreign central banks for the provision of us dollars from the Federal Reserve and the acquisition of foreign currency from the foreign central banks The swap lines are routinely used to provide dollars to some foreign central banks in the network In the existing and proposedAuthorization documents the Committee is charged with approving new swap arrangements and the Chairman is delegated authority to approve changes to the terms of existing arrangementsThe Chairman is delegated authority to approve individual dollar draws on the swap lines and can also further delegate approval of such draws to the soma manager Under current practice foreign central banks present calendars of proposed dollar auctions to the Federal Reserve on a monthly basis and seek assurance that the Federal Reserve intends to approve swap drawing requests associated with these calendars The Chairman reviews and typically approves the foreign central banks’ proposed dollar auction calendars The Chairman also typically delegates to the soma manager the authority to approve requests to draw on the swap lines to fund these scheduled operations The exception is for initial draw requests where “initial” is understood to refer to the first drawing by a central bank since the swap arrangements changed from temporary to standing arrangements in January 2014 In that case the Chairman retains authority to approve the drawingThe proposed documents establish a governance process on the basis of whether the draw is associated with a schedule of potential drawings the Chairman has approved in advance The proposed documents authorize the Chairman to approve a schedule of potential drawings and to delegate to the soma manager authority to approve any draws made in accordance with that schedule All unscheduled dollar draws must still be approved by the ChairmanThe existing documents also delegate to the Chairman approval authority for foreign currency draws by the Federal Reserve Because such foreign currency draws are expected to rarely occur in the current operating environment and would occur because of developments in the United States the proposed documents now require prior approval of such draws from the CommitteeThe bottom-left panel summarizes proposed governance changes to the final operation type management of foreign currency holdings With respect to management of the foreign currency holdings the proposed documents establish a new governance framework that is intended to complement the updated investment framework presented to the Committee in April of this year First the proposed documents set forth three investment objectives for the Selected Bank: The Selected Bank must manage the foreign currency holdings primarily to ensure sufficient liquidity to enable the conduct of foreign currency operations secondarily to have a high degree of safety and subject to these two objectives to achieve the highest rate of return possible in each currency Second the Subcommittee in consultation with the Committee is delegated the authority to provide additional instructions to the Selected Bank regarding investments of foreign currency holdings This new provision removes the Selected Bank’s current autonomy such as the ability to determine the riskiness of the portfolio the degree of portfolio liquidity and the specific issuers and asset classes in which to invest The proposed governance structure contemplates that risk constraints will no longer appear in the Authorization documents but instead may appear in the additional instructions that theSubcommittee may provide to the Selected Bank Note that issuance of these instructions would not prevent the Committee from issuing additional direction to the Selected Bank regarding the management of the foreign currency holdings Finally the existing average duration limit of 24 months is removed from the AuthorizationIf the Committee adopts the proposed governing documents as the Chair pointed out the Subcommittee plans to issue additional instructions to the Selected Bank shortly after the conclusion of this meeting The Subcommittee provided a draft of these instructions to the Committee last week together with the memo titled “Additional Instructions of Foreign Currency Subcommittee to Desk Regarding Holdings of Foreign Currencies”I would like to highlight two other proposed changes relating to governance listed in the bottom-right panel of your exhibit The first is a provision to delegate any authority of the Subcommittee to the Chairman if the Subcommittee cannot convene in the time available The second provides that in emergency circumstances the Chairman may approve actions otherwise reserved for the Committee These changes are intended for use only in cases of emergency Under modern communication technology it is expected that these would be used only rarelyAdditional proposed changes are listed in the appendix of your exhibitPlease note that if you approve the proposed documents they will first be made public in the minutes of this meeting and the changes will thus remain confidential until the minutes are releasedBefore the Chair requests a vote on the foreign authorization documents the Rules of Organization and Rules of Procedure we would be happy to answer any questions on the proposed changes,Thank you Madam Chair I’d just like to say that some of the staff involved in the project are in the room today including Paul Dozier and Mike Leahy from IF; Cindy Hull from the Desk; and Sophia Allison who is sitting next to Lorie from the Board’s Legal Division‌1 The materials used by Mr Potter are appended to this transcript (appendix 1)I’ll be discussing important changes to the Authorization for Foreign Currency Operations (the Authorization) the Foreign Currency Directive (the Directive) and the Procedural Instructions with Respect to Foreign Currency Operations As discussed in the memo the Committee received in August titled “Proposed Revisions to Authorization for Foreign Currency Operations and Related Organizational Documents” the revisions are intended to meet three objectives: first reflect the current operating environment; second clarify guidance to the Selected Bank by updating governance for each operation; and third simplify the structure of the documentsProposed changes to the document structure are summarized in the top-left panel of your exhibit The proposed documents are organized to consolidate authorizations and directions into the Authorization and the Directive respectively and to clarify governance and guidance relating to specific operation types All text authorizing an operation and any language regarding its purpose is in the Authorization while specific direction to the Selected Bank to conduct each operation is in the Directive In both documents text for each operation type is grouped together in contrast to the format of the current documents Also the existing Procedural Instructions are eliminated as language from the document is incorporated into the Authorization and Directive This proposed two-document organization structure now aligns with the one used for domestic operations The staff also proposes to move both the definition and governance of the Foreign Currency Subcommittee currently in the Authorization into the Rules of Organization and Rules of Procedure respectivelyThe staff also proposes several substantive changes to foreign currency operation procedures and governance These changes are designed to reflect the current operating environment and to clarify guidance to the Selected Bank These changes remove the discretion that the Selected Bank has in the existing governance framework to determine whether to execute foreign currency operations and how to set parameters for investing the foreign currency holdings The proposed framework now authorizes the Foreign Currency Subcommittee to both determine whether to execute interventions within specified limits and provide additional instructions regarding the management of the foreign reserves The staff proposes assigning these responsibilities to the Foreign Currency Subcommittee primarily to accommodate the often time-sensitive nature of decisions that must be made regarding implementation of intervention operations as well as to facilitate coordination with the us Treasury or foreign central banksThe proposed documents are organized into five operation types: interventions warehousing reciprocal currency arrangements us dollar and foreign liquidity swaps and foreign currency holdings I will now address major changes made to the documents according to each of these operation types Additional proposed changes are listed in the appendix of your exhibitThe top-right panel of your exhibit lists major changes to foreign exchange intervention operations The proposed documents remove the Selected Bank’s discretion to determine whether to execute as much as $600 million in interventionoperations per intermeeting period For some brief background this discretion was given to the Selected Bank in 1976 when the documents were first established a time when intervention operations were somewhat routine The Selected Bank has not used this discretion in more than 20 years However because intervention operations are now rarely conducted the proposed documents eliminate this almost 40-year-old provision The proposed documents provide that all such operations require prior approval from the Committee or Subcommittee Other limits in the existing framework on the Selected Bank’s intervention discretion including a list of authorized currencies and a $25 billion cap on the overall size of the foreign currency holdings are also eliminatedThe existing documents authorize the Subcommittee to direct the Desk to execute intervention operations up to $15 billion per intermeeting period The proposed documents increase the limit to $5 billion; any interventions above this limit could only be approved by the Committee As the existing $15 billion limit was last updated in 1993 the proposed change aligns the size of the Subcommittee’s approval authority with the more than fourfold increase in the FX market sizeThe middle-left panel of your exhibit lists major changes to the second operation type warehousing Warehousing is essentially a swap operation with the us Treasury in which its Exchange Stabilization Fund the sells foreign currency to the Selected Bank for us dollars; at the outset of the transaction the agrees to repurchase the foreign currency at a set future date and exchange rate Under current practice the Committee delegates to the Selected Bank the authority to approve Treasury requests to use the warehousing facility of up to $5 billion via the annual Desk Authorization process each January However the existing Authorization documents do not explicitly mention warehousing and instead provide only general authority for the Selected Bank to conduct operations with the To improve transparency the proposed documents include a provision expressly authorizing the$5 billion warehousing arrangement with the Treasury The proposed directive now also instructs the Subcommittee to internally approve warehousing transactions before the Selected Bank can execute them with the us TreasuryThe middle-right panel of your exhibit summarizes major changes for reciprocal currency arrangements and standing liquidity swap lines the third and fourth types of operations Reciprocal currency arrangements are swap arrangements with the central banks of Mexico and Canada that were established in 1994 under the North American Framework Agreement The existing documents authorize the Subcommittee to approve drawings up to certain size limits However because these are expected to be used only rarely the proposed documents now require the Committee to approve all drawings under these arrangementsMore familiar to the Committee are the standing liquidity swap lines These arrangements are maintained with a network of five foreign central banks for the provision of us dollars from the Federal Reserve and the acquisition of foreign currency from the foreign central banks The swap lines are routinely used to provide dollars to some foreign central banks in the network In the existing and proposedAuthorization documents the Committee is charged with approving new swap arrangements and the Chairman is delegated authority to approve changes to the terms of existing arrangementsThe Chairman is delegated authority to approve individual dollar draws on the swap lines and can also further delegate approval of such draws to the soma manager Under current practice foreign central banks present calendars of proposed dollar auctions to the Federal Reserve on a monthly basis and seek assurance that the Federal Reserve intends to approve swap drawing requests associated with these calendars The Chairman reviews and typically approves the foreign central banks’ proposed dollar auction calendars The Chairman also typically delegates to the soma manager the authority to approve requests to draw on the swap lines to fund these scheduled operations The exception is for initial draw requests where “initial” is understood to refer to the first drawing by a central bank since the swap arrangements changed from temporary to standing arrangements in January 2014 In that case the Chairman retains authority to approve the drawingThe proposed documents establish a governance process on the basis of whether the draw is associated with a schedule of potential drawings the Chairman has approved in advance The proposed documents authorize the Chairman to approve a schedule of potential drawings and to delegate to the soma manager authority to approve any draws made in accordance with that schedule All unscheduled dollar draws must still be approved by the ChairmanThe existing documents also delegate to the Chairman approval authority for foreign currency draws by the Federal Reserve Because such foreign currency draws are expected to rarely occur in the current operating environment and would occur because of developments in the United States the proposed documents now require prior approval of such draws from the CommitteeThe bottom-left panel summarizes proposed governance changes to the final operation type management of foreign currency holdings With respect to management of the foreign currency holdings the proposed documents establish a new governance framework that is intended to complement the updated investment framework presented to the Committee in April of this year First the proposed documents set forth three investment objectives for the Selected Bank: The Selected Bank must manage the foreign currency holdings primarily to ensure sufficient liquidity to enable the conduct of foreign currency operations secondarily to have a high degree of safety and subject to these two objectives to achieve the highest rate of return possible in each currency Second the Subcommittee in consultation with the Committee is delegated the authority to provide additional instructions to the Selected Bank regarding investments of foreign currency holdings This new provision removes the Selected Bank’s current autonomy such as the ability to determine the riskiness of the portfolio the degree of portfolio liquidity and the specific issuers and asset classes in which to invest The proposed governance structure contemplates that risk constraints will no longer appear in the Authorization documents but instead may appear in the additional instructions that theSubcommittee may provide to the Selected Bank Note that issuance of these instructions would not prevent the Committee from issuing additional direction to the Selected Bank regarding the management of the foreign currency holdings Finally the existing average duration limit of 24 months is removed from the AuthorizationIf the Committee adopts the proposed governing documents as the Chair pointed out the Subcommittee plans to issue additional instructions to the Selected Bank shortly after the conclusion of this meeting The Subcommittee provided a draft of these instructions to the Committee last week together with the memo titled “Additional Instructions of Foreign Currency Subcommittee to Desk Regarding Holdings of Foreign Currencies”I would like to highlight two other proposed changes relating to governance listed in the bottom-right panel of your exhibit The first is a provision to delegate any authority of the Subcommittee to the Chairman if the Subcommittee cannot convene in the time available The second provides that in emergency circumstances the Chairman may approve actions otherwise reserved for the Committee These changes are intended for use only in cases of emergency Under modern communication technology it is expected that these would be used only rarelyAdditional proposed changes are listed in the appendix of your exhibitPlease note that if you approve the proposed documents they will first be made public in the minutes of this meeting and the changes will thus remain confidential until the minutes are releasedBefore the Chair requests a vote on the foreign authorization documents the Rules of Organization and Rules of Procedure we would be happy to answer any questions on the proposed changes,20160921
6,CHAIR YELLEN,CHAIR YELLEN Are there questions for Simon? Discussion? President Bullard,Are there questions for Simon? Discussion? President Bullard,20160921
7,MR BULLARD,MR BULLARD Thank you Madam Chair I think it’s a nice proposal There’s a lot of references to “Chairman” in this and it’s a little bit of residual language Could we perhaps switch it to “Chair” and not have “Chairman” in it?,Thank you Madam Chair I think it’s a nice proposal There’s a lot of references to “Chairman” in this and it’s a little bit of residual language Could we perhaps switch it to “Chair” and not have “Chairman” in it?,20160921
8,MS ALLISON,MS ALLISON Actually “Chairman” is the term that’s used in the Act So that’s why we’ve retained it in these documents,Actually “Chairman” is the term that’s used in the Act So that’s why we’ve retained it in these documents,20160921
9,MR POTTER,MR POTTER I did feel strange saying that throughout the briefing but it was to conform with the Federal Reserve Act So it’s the “Chairman” writing a particular check,I did feel strange saying that throughout the briefing but it was to conform with the Federal Reserve Act So it’s the “Chairman” writing a particular check,20160921
