,Speaker,transcript_text,clean_transcript_text,date
0,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN Would somebody like to move the approval of the minutes for the March 28 meeting?,Would somebody like to move the approval of the minutes for the March 28 meeting?,19950523
1,MS MINEHAN,MS MINEHAN So move,So move,19950523
2,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN Without objection We now turn to Peter Fisher who will report on the operations of both the foreign Desk and the domestic Desk,Without objection We now turn to Peter Fisher who will report on the operations of both the foreign Desk and the domestic Desk,19950523
3,MR FISHER,MR FISHER Thank you Mr Chairman I will first discuss current conditions in interest rate markets and then some of the factors contributing to recent exchange rate movements before reviewing foreign and then domestic operations [Statement--see Appendix],Thank you Mr Chairman I will first discuss current conditions in interest rate markets and then some of the factors contributing to recent exchange rate movements before reviewing foreign and then domestic operations [Statement--see Appendix],19950523
4,CHAIRMAN GREENSPAN,CHAIRMAN GREENSPAN Questions for Peter?,Questions for Peter?,19950523
5,MS PHILLIPS,"MS PHILLIPS In the domestic report you indicated that a group of traders was ""priced out of the market"" What does ""priced out of the market"" mean and how do you know they were priced out?","In the domestic report you indicated that a group of traders was ""priced out of the market"" What does ""priced out of the market"" mean and how do you know they were priced out?",19950523
6,MR FISHER,MR FISHER If you are taking a short position on the expectation that the data will lean the other way or the market will not continue to rally you begin to lose a lot of money and you have to cover your shorts There are people who believe that there will be a rebound in activity by the end of the year but it is too expensive for them to try to express that position in the market,If you are taking a short position on the expectation that the data will lean the other way or the market will not continue to rally you begin to lose a lot of money and you have to cover your shorts There are people who believe that there will be a rebound in activity by the end of the year but it is too expensive for them to try to express that position in the market,19950523
7,MS PHILLIPS,MS PHILLIPS Do you take a survey or--,Do you take a survey or--,19950523
8,MR FISHER,MR FISHER We talk to people and there are some well known losses that are now reported We certainly talk to the dealers about major positions that go against them So yes there are informal surveys and some more formal surveys,We talk to people and there are some well known losses that are now reported We certainly talk to the dealers about major positions that go against them So yes there are informal surveys and some more formal surveys,19950523
9,CHAIRMAN GREENSPAN,"CHAIRMAN GREENSPAN I think the Governor is asking the question ""What in the world does it mean to say you are priced out of the market?""","I think the Governor is asking the question ""What in the world does it mean to say you are priced out of the market?""",19950523
10,MS PHILLIPS,MS PHILLIPS That's right [Laughter],That's right [Laughter],19950523
11,MR KOHN,MR KOHN You lose a lot of money! [Laughter],You lose a lot of money! [Laughter],19950523
