,speaker,date,speak_count,speaker_unique,speak_length
104,MR PRELL,19940706,34,PRELL,13087
105,MS PHILLIPS,19940706,6,PHILLIPS,7264
106,MR PARRY,19940706,12,PARRY,6129
107,GDPMR PARRY,19940706,1,PARRY,438
108,MR HOENIG,19940706,7,HOENIG,4754
109,MR PRELLMR HOENIGMR PRELL,19940706,1,PRELL,88
110,MR HOENIGT,19940706,1,HOENIGT,261
111,MR KEEHN,19940706,5,KEEHN,6069
112,MR FORRESTAL,19940706,3,FORRESTAL,8431
113,MR MCTEER,19940706,5,MCTEER,5839
114,MR STERN,19940706,4,STERN,5121
115,MR BERNARD,19940706,5,BERNARD,2047
116,MR BERNARDC,19940706,3,BERNARDC,713
117,CHAIRMAN GREENSPAN,19940816,82,GREENSPAN,17168
118,MS YELLEN,19940816,4,YELLEN,3269
119,MS MINEHAN,19940816,10,MINEHAN,4268
120,VICE CHAIRMAN MCDONOUGH,19940816,3,MCDONOUGH,6000
121,MR KELLEY,19940816,4,KELLEY,1991
122,MR FISHER,19940816,3,FISHER,4008
123,MR BLINDER,19940816,10,BLINDER,9972
124,MS LOVETT,19940816,1,LOVETT,45
125,MR PRELL,19940816,20,PRELL,11635
126,MR PARRY,19940816,3,PARRY,3388
127,MR LAWARE,19940816,6,LAWARE,956
128,MR STERN,19940816,6,STERN,3647
129,MR KOHN,19940816,5,KOHN,1557
130,MR JORDAN,19940816,4,JORDAN,7747
131,MR BROADDUS,19940816,2,BROADDUS,4136
132,MR FORRESTAL,19940816,3,FORRESTAL,5893
133,MR HOENIG,19940816,2,HOENIG,2745
134,MR BOEHNE,19940816,3,BOEHNE,1746
135,MR MELZER,19940816,8,MELZER,4747
136,MR MCTEER,19940816,2,MCTEER,1557
137,MS PHILLIPS,19940816,3,PHILLIPS,5342
138,MR LINDSEY,19940816,6,LINDSEY,5665
139,NIPAMR LINDSEY,19940816,1,LINDSEY,804
140,MR CONRAD,19940816,2,CONRAD,4205
141,MR BERNARD,19940816,4,BERNARD,739
142,MR BERNARDC,19940816,1,BERNARDC,272
143,CHAIRMAN GREENSPAN,19940927,70,GREENSPAN,21864
144,VICE CHAIRMAN MCDONOUGH,19940927,6,MCDONOUGH,7237
145,MR FISHER,19940927,14,FISHER,8008
146,CHAIRMAN GREENSPZ,19940927,1,GREENSPZ,20
147,MR BLINDER,19940927,16,BLINDER,3047
148,MR BROADDUS,19940927,7,BROADDUS,6232
149,VICE CHAIR,19940927,1,CHAIR,8
150,AN MCDONOUGH,19940927,1,MCDONOUGH,207
151,MR FORRESTAL,19940927,3,FORRESTAL,6024
152,MR PARRY,19940927,7,PARRY,3909
153,MR TRUMAN,19940927,5,TRUMAN,2614
154,MR MELZER,19940927,7,MELZER,8638
155,MS LOVETT,19940927,7,LOVETT,4650
156,MR MCTEER,19940927,7,MCTEER,2463
157,MS LOVETTA,19940927,1,LOVETTA,60
158,MR JORDAN,19940927,5,JORDAN,7901
159,MR PRELL,19940927,16,PRELL,5445
160,AN GREENSPAN,19940927,2,GREENSPAN,32
161,MR KOHN,19940927,4,KOHN,1027
162,MS MINEHAN,19940927,8,MINEHAN,5578
163,CHAIRMAN GREENSPAJ,19940927,1,GREENSPAJ,25
164,MR BOEHNE,19940927,2,BOEHNE,2185
165,CBAIRMAN GREENSPAN,19940927,1,GREENSPAN,16
166,MR LINDSEY,19940927,6,LINDSEY,6424
167,MR HOENIG,19940927,2,HOENIG,2546
168,CHAIRMAN GREENSPA,19940927,1,GREENSPA,26
169,MR MOSKOW,19940927,3,MOSKOW,3879
170,MR STERN,19940927,2,STERN,3558
171,CHAIRMA GREENSPAN,19940927,1,GREENSPAN,16
172,MR KELLEY,19940927,3,KELLEY,2934
173,MR LAWARE,19940927,2,LAWARE,1693
174,MS YELLEN,19940927,2,YELLEN,5093
175,MR BLINDERI,19940927,1,BLINDERI,5470
176,MS PHILLIPS,19940927,3,PHILLIPS,5375
177,DCHAIRMAN GREENSPAN,19940927,1,GREENSPAN,0
178,MR BERNARD,19940927,1,BERNARD,632
179,MR BERNARDC,19940927,1,BERNARDC,267
180,MR COYNE,19940927,1,COYNE,61
181,CHAIRMAN GREENSPAN,19941115,115,GREENSPAN,29862
182,MR LINDSEY,19941115,19,LINDSEY,8727
183,MS MINEHAN,19941115,19,MINEHAN,6421
184,MR FISHER,19941115,14,FISHER,7152
185,MR BROADDUS,19941115,7,BROADDUS,8694
186,MR JORDAN,19941115,9,JORDAN,17097
187,MS LOVETT,19941115,6,LOVETT,432
188,MR KOHN,19941115,10,KOHN,2450
189,VICE CHAIRMAN MCDONOUGH,19941115,12,MCDONOUGH,9716
190,MR PRELL,19941115,24,PRELL,14254
191,MR BOEHNE,19941115,4,BOEHNE,4308
192,MR PARRY,19941115,10,PARRY,4233
193,MR BLINDER,19941115,8,BLINDER,14876
194,MR STERN,19941115,6,STERN,5020
195,MR FORRESTAL,19941115,3,FORRESTAL,3901
196,MR MCTEER,19941115,2,MCTEER,3198
197,MR HOENIG,19941115,4,HOENIG,4015
198,MR MELZER,19941115,3,MELZER,5890
199,MR MOSKOW,19941115,2,MOSKOW,4964
200,MR LAWARE,19941115,5,LAWARE,2254
201,MR KELLEY,19941115,5,KELLEY,2312
202,MS PHILLIPS,19941115,3,PHILLIPS,4926
203,MS YELLEN,19941115,2,YELLEN,5715
204,SEVERAL MEMBERS,19941115,1,MEMBERS,15
205,MR BERNARD,19941115,2,BERNARD,995
206,MR BERNARDC,19941115,1,BERNARDC,268
207,CHAIRMAN GREENSPANMR TRUMAN,19941115,1,TRUMAN,866
208,MR TRUMAN,19941115,11,TRUMAN,10083
209,CHAIRMAN GREENSPANI,19941115,1,GREENSPANI,1220
210,MR MINEHAN,19941115,1,MINEHAN,65
211,CHAIRMAN GREENSPAN,19941220,68,GREENSPAN,15611
212,VICE CHAIRMAN MCDONOUGH,19941220,8,MCDONOUGH,4043
213,MR JORDAN,19941220,6,JORDAN,11640
214,FOMCCHAIRMAN GREENSPAN,19941220,1,GREENSPAN,65
215,MR FISHER,19941220,2,FISHER,578
216,MS LOVETT,19941220,3,LOVETT,1686
217,MS PHILLIPS,19941220,5,PHILLIPS,6372
218,MR TRUMAN,19941220,4,TRUMAN,2118
219,MR PRELL,19941220,14,PRELL,8777
220,MR PARRY,19941220,3,PARRY,6822
221,MR BLINDER,19941220,11,BLINDER,10768
222,MR MCTEER,19941220,5,MCTEER,3121
223,CHAIRMAN GREENSPANI,19941220,1,GREENSPANI,29
224,MS MINEHAN,19941220,5,MINEHAN,4655
225,MR HOENIG,19941220,2,HOENIG,2599
226,MR MOSKOW,19941220,2,MOSKOW,5207
227,MR FORRESTAL,19941220,2,FORRESTAL,5607
228,MR BROADDUS,19941220,3,BROADDUS,7160
229,MR STERN,19941220,5,STERN,4062
230,MR MELZER,19941220,5,MELZER,4516
231,MR LANG,19941220,1,LANG,1221
232,MR LINDSEY,19941220,5,LINDSEY,11507
233,MR KELLEY,19941220,2,KELLEY,2904
234,MR LAWARE,19941220,2,LAWARE,2569
235,MS YELLEN,19941220,2,YELLEN,3013
236,NAIRUCHAIRMAN GREENSPAN,19941220,1,GREENSPAN,9
237,MR BERNARD,19941220,3,BERNARD,775
238,MR KOHN,19941220,3,KOHN,55
239,MR BERNARDC,19941220,1,BERNARDC,267
240,CHAIRMAN GREENSPAN,19950201,269,GREENSPAN,69353
241,MR BLINDER,19950201,115,BLINDER,42765
242,MR KELLEY,19950201,20,KELLEY,6038
243,MS MINEHAN,19950201,50,MINEHAN,11460
244,MR BERNARD,19950201,6,BERNARD,1417
245,VICE CHAIRMAN MCDONOUGH,19950201,36,MCDONOUGH,15026
246,MR LINDSEY,19950201,45,LINDSEY,19176
247,MR PARRY,19950201,19,PARRY,5640
248,MR BROADDUS,19950201,14,BROADDUS,20151
249,MR MELZER,19950201,52,MELZER,22341
250,MR KOHN,19950201,22,KOHN,4433
251,MR HOENIG,19950201,23,HOENIG,10369
252,MR BOEHNE,19950201,15,BOEHNE,8955
253,MR JORDAN,19950201,17,JORDAN,13170
254,MS PHILLIPS,19950201,9,PHILLIPS,7737
255,MS MINEHANT,19950201,1,MINEHANT,180
256,MR MOSKOW,19950201,14,MOSKOW,12252
257,MR FORRESTAL,19950201,16,FORRESTAL,12414
258,MR MATTINGLY,19950201,13,MATTINGLY,1684
259,MR LAWARE,19950201,17,LAWARE,5916
260,MR WINN,19950201,5,WINN,2500
261,MR MCTEER,19950201,18,MCTEER,5108
262,FOMCMR MCTEER,19950201,1,MCTEER,155
263,FOMCMS MINEHAN,19950201,1,MINEHAN,68
264,MR COYNE,19950201,6,COYNE,1962
265,MS YELLEN,19950201,3,YELLEN,10912
266,GOVERNOR YELLEN,19950201,1,YELLEN,11066
267,PRESIDENT MINEHAN,19950201,1,MINEHAN,2592
268,PRESIDENT MELZER,19950201,1,MELZER,2679
269,MR STERN,19950201,4,STERN,5386
270,MR TRUMAN,19950201,130,TRUMAN,49703
271,ESFCHAIRMAN GREENSPAN,19950201,1,GREENSPAN,96
272,MR FISHER,19950201,17,FISHER,6315
273,YMR LINDSEY,19950201,1,LINDSEY,63
274,MS MINEHAN,19950201,1,OTHERS,11460
275,MR PRELL,19950201,12,PRELL,2564
276,MR HOOPER,19950201,3,HOOPER,128
277,MR STOCKTON,19950201,1,STOCKTON,576
278,MR HOOPERM,19950201,1,HOOPERM,125
279,MR BERNARDC,19950201,4,BERNARDC,920
280,MR LINDSEYMR TRUMAN,19950201,1,TRUMAN,22
281,ESFMR LAWARE,19950201,1,LAWARE,69
282,MR MELZER SPEAKER,19950201,1,SPEAKER,0
283,MR TRUMANY,19950201,1,TRUMANY,50
284,MR TRUMANMS MINEHAN,19950201,2,MINEHAN,184
285,CHAIRMAN GREENSPANMR TRUMAN,19950201,1,TRUMAN,2836
286,VICE CHAIRMAN,19950201,1,CHAIRMAN,179
287,GOVERNOR LAWARE,19950201,1,LAWARE,87
288,MR BERNARDG,19950201,1,BERNARDG,165
289,CHAIRMAN GREENSPAN,19950328,106,GREENSPAN,22716
290,VICE CHAIRMAN MCDONOUGH,19950328,11,MCDONOUGH,8239
291,MS MINEHAN,19950328,18,MINEHAN,7415
292,MR KELLEY,19950328,4,KELLEY,3935
293,MR MOSKOW,19950328,4,MOSKOW,5793
294,MR HOENIG,19950328,5,HOENIG,3876
295,MR KOHN,19950328,15,KOHN,7229
296,MR JORDAN,19950328,14,JORDAN,13666
297,MR PRELL,19950328,19,PRELL,3532
298,IIMR KOHN,19950328,1,KOHN,200
299,MR LINDSEY,19950328,5,LINDSEY,4848
300,MR TRUMAN,19950328,17,TRUMAN,8892
301,MR BROADDUS,19950328,12,BROADDUS,11167
302,MR FISHER,19950328,19,FISHER,5706
303,MR PARRY,19950328,10,PARRY,5960
304,MR BLINDER,19950328,16,BLINDER,9049
