,speaker,date,speak_count,speaker_unique,speak_length
1197,CPICHAIRMAN GREENSPAN,19990203,1,GREENSPAN,908
1198,MR MCTEER,19990203,6,MCTEER,2965
1199,MR MOSKOW,19990203,4,MOSKOW,6910
1200,MR GUYNN,19990203,2,GUYNN,8452
1201,MR FERGUSON,19990203,6,FERGUSON,7072
1202,MR SIMPSON,19990203,3,SIMPSON,8274
1203,MR BERNARD,19990203,3,BERNARD,1358
1204,MR BERNARDC,19990203,2,BERNARDC,481
1205,MR WINN,19990203,3,WINN,506
1206,MR MADIGAN,19990203,1,MADIGAN,31
1207,MR MATTINGLY,19990203,1,MATTINGLY,3
1208,NAIRUMR PRELL,19990203,1,PRELL,478
1209,CHAIRMAN GREENSPAN,19990330,51,GREENSPAN,14562
1210,VICE CHAIRMAN MCDONOUGH,19990330,4,MCDONOUGH,5777
1211,MR FISHER,19990330,6,FISHER,8226
1212,MR POOLE,19990330,7,POOLE,8105
1213,MR KOHN,19990330,3,KOHN,12573
1214,MR PRELL,19990330,8,PRELL,14529
1215,MS JOHNSON,19990330,3,JOHNSON,6710
1216,MR BROADDUS,19990330,3,BROADDUS,7429
1217,MR PARRY,19990330,3,PARRY,3916
1218,MR JORDAN,19990330,3,JORDAN,11382
1219,MS MINEHAN,19990330,4,MINEHAN,9513
1220,MR MCTEER,19990330,2,MCTEER,4787
1221,MR HOENIG,19990330,2,HOENIG,3368
1222,MR MOSKOW,19990330,2,MOSKOW,5949
1223,MR GUYNN,19990330,2,GUYNN,7634
1224,MR BOEHNE,19990330,2,BOEHNE,2572
1225,MR STERN,19990330,2,STERN,2795
1226,MR FERGUSON,19990330,2,FERGUSON,3676
1227,MR MEYER,19990330,2,MEYER,8658
1228,MR KELLEY,19990330,2,KELLEY,1647
1229,MS RIVLIN,19990330,3,RIVLIN,5875
1230,MR GRAMLICH,19990330,2,GRAMLICH,5057
1231,MR BERNARD,19990330,1,BERNARD,901
1232,MR BERNARDC,19990330,1,BERNARDC,240
1233,CHAIRMAN GREENSPAN,19990518,80,GREENSPAN,18090
1234,VICE CHAIRMAN MCDONOUGH,19990518,7,MCDONOUGH,6630
1235,MR FISHER,19990518,7,FISHER,16792
1236,MR KOHN,19990518,11,KOHN,12609
1237,MR MOSKOW,19990518,5,MOSKOW,5794
1238,MR PARRY,19990518,8,PARRY,4527
1239,MS MINEHAN,19990518,13,MINEHAN,8412
1240,MR POOLE,19990518,7,POOLE,8436
1241,MR PRELL,19990518,22,PRELL,21622
1242,MR BROADDUS,19990518,3,BROADDUS,7953
1243,MR JORDAN,19990518,3,JORDAN,11228
1244,MR HOENIG,19990518,3,HOENIG,5588
1245,MR MCTEER,19990518,2,MCTEER,3803
1246,MR STERN,19990518,2,STERN,2850
1247,MR GUYNN,19990518,2,GUYNN,6375
1248,MR BOEHNE,19990518,2,BOEHNE,2102
1249,MR KELLEY,19990518,2,KELLEY,3008
1250,MR GRAMLICH,19990518,2,GRAMLICH,4347
1251,MR FERGUSON,19990518,3,FERGUSON,4397
1252,MR MEYER,19990518,2,MEYER,6943
1253,MS RIVLIN,19990518,2,RIVLIN,3180
1254,CCHAIRMAN GREENSPAN,19990518,1,GREENSPAN,16
1255,MR BERNARD,19990518,1,BERNARD,529
1256,MR BERNARDC,19990518,1,BERNARDC,240
1257,CHAIRMAN GREENSPAN,19990630,92,GREENSPAN,27692
1258,VICE CHAIRMAN MCDONOUGH,19990630,10,MCDONOUGH,10318
1259,MR FISHER,19990630,14,FISHER,23391
1260,MR BROADDUS,19990630,8,BROADDUS,10693
1261,MR PARRY,19990630,12,PARRY,6883
1262,MS JOHNSON,19990630,8,JOHNSON,19621
1263,MR MCTEER,19990630,8,MCTEER,7834
1264,MR JORDAN,19990630,10,JORDAN,17591
1265,MR PRELL,19990630,10,PRELL,21381
1266,MS MINEHAN,19990630,9,MINEHAN,13224
1267,KMR PRELL,19990630,1,PRELL,2147
1268,MR POOLE,19990630,7,POOLE,11153
1269,MR KELLEY,19990630,5,KELLEY,6023
1270,MR HOENIG,19990630,9,HOENIG,5534
1271,MR GRAMLICH,19990630,5,GRAMLICH,8723
1272,MR STERN,19990630,5,STERN,3640
1273,MR JOHNSON,19990630,1,JOHNSON,417
1274,MR MOSKOW,19990630,5,MOSKOW,9084
1275,MR GUYNN,19990630,4,GUYNN,7391
1276,MR BOEHNE,19990630,5,BOEHNE,3673
1277,MR FERGUSON,19990630,4,FERGUSON,6174
1278,MR MEYER,19990630,8,MEYER,13939
1279,MR MADIGAN,19990630,1,MADIGAN,7292
1280,MR BERNARD,19990630,2,BERNARD,1515
1281,MR BERNARDC,19990630,2,BERNARDC,440
1282,MR KOHN,19990630,16,KOHN,28671
1283,CHAIRMAN GREENSPAN,19990824,104,GREENSPAN,28286
1284,VICE CHAIRMAN MCDONOUGH,19990824,16,MCDONOUGH,12719
1285,MS JOHNSON,19990824,2,JOHNSON,5626
1286,MR KELLEY,19990824,7,KELLEY,2594
1287,MR FISHER,19990824,44,FISHER,49660
1288,MS MINEHAN,19990824,8,MINEHAN,10543
1289,MR HOENIG,19990824,8,HOENIG,6420
1290,MR BROADDUS,19990824,5,BROADDUS,8851
1291,MR KOHN,19990824,11,KOHN,12552
1292,MR PARRY,19990824,12,PARRY,5941
1293,CHAIRMAN GREENSPAN,19990824,1,GREENSPAN,28286
1294,MR BERNARD,19990824,3,BERNARD,1697
1295,DMR FISHER,19990824,1,FISHER,807
1296,MR JORDAN,19990824,7,JORDAN,10660
1297,MR MOSKOW,19990824,3,MOSKOW,5842
1298,MR GRAMLICH,19990824,4,GRAMLICH,3807
1299,MR STERN,19990824,4,STERN,1811
1300,MR KELLY,19990824,1,KELLY,6
1301,MR BOEHNE,19990824,3,BOEHNE,2584
1302,MR PRELL,19990824,6,PRELL,9233
1303,MR POOLE,19990824,3,POOLE,8724
1304,MR GUYNN,19990824,2,GUYNN,6012
1305,MR MCTEER,19990824,2,MCTEER,5478
1306,MR MEYER,19990824,2,MEYER,5510
1307,MR FERGUSON,19990824,3,FERGUSON,3406
1308,MR BERNARDC,19990824,1,BERNARDC,213
1309,CHAIRMAN GREENSPAN,19991005,65,GREENSPAN,28689
1310,VICE CHAIRMAN MCDONOUGH,19991005,7,MCDONOUGH,6768
1311,MR FISHER,19991005,5,FISHER,17165
1312,MR BROADDUS,19991005,4,BROADDUS,8277
1313,MS MINEHAN,19991005,8,MINEHAN,9017
1314,MR HOENIG,19991005,8,HOENIG,5654
1315,MR KOHN,19991005,8,KOHN,14375
1316,MR PRELL,19991005,1,PRELL,8989
1317,MS JOHNSON,19991005,7,JOHNSON,12757
1318,MR MCTEER,19991005,8,MCTEER,8152
1319,MR PARRY,19991005,4,PARRY,6149
1320,MR POOLE,19991005,6,POOLE,7540
1321,MR STERN,19991005,3,STERN,3947
1322,MR GUYNN,19991005,5,GUYNN,7966
1323,MR BOEHNE,19991005,10,BOEHNE,4192
1324,MR MOSKOW,19991005,2,MOSKOW,7586
1325,MR JORDAN,19991005,5,JORDAN,12187
1326,MR FERGUSON,19991005,4,FERGUSON,5118
1327,MR GRAMLICH,19991005,3,GRAMLICH,8137
1328,MR KELLEY,19991005,4,KELLEY,4776
1329,MR MEYER,19991005,8,MEYER,8430
1330,MR MCDONOUGH,19991005,1,MCDONOUGH,5
1331,ICHAIRMAN GREENSPAN,19991005,1,GREENSPAN,575
1332,MR GILLUM,19991005,1,GILLUM,550
1333,MR GILLUMC,19991005,1,GILLUMC,219
1334,CHAIRMAN GREENSPAN,19991116,83,GREENSPAN,23622
1335,VICE CHAIRMAN MCDONOUGH,19991116,14,MCDONOUGH,7794
1336,MR FISHER,19991116,7,FISHER,17943
1337,MR POOLE,19991116,9,POOLE,4483
1338,MR KOHN,19991116,3,KOHN,11436
1339,MR PRELL,19991116,11,PRELL,12240
1340,MS JOHNSON,19991116,2,JOHNSON,7590
1341,MR JORDAN,19991116,4,JORDAN,8913
1342,MR STOCKTON,19991116,1,STOCKTON,179
1343,MR PARRY,19991116,6,PARRY,5108
1344,MS MINEHAN,19991116,12,MINEHAN,10269
1345,MR MCTEER,19991116,9,MCTEER,7920
1346,MR MOSKOW,19991116,4,MOSKOW,6461
1347,MR BROADDUS,19991116,5,BROADDUS,9410
1348,MR HOENIG,19991116,6,HOENIG,4057
1349,MR GUYNN,19991116,3,GUYNN,5449
1350,MR STERN,19991116,5,STERN,4331
1351,MR GRAMLICH,19991116,4,GRAMLICH,8646
1352,MR FERGUSON,19991116,30,FERGUSON,18269
1353,MR MEYER,19991116,8,MEYER,11093
1354,MR KELLEY,19991116,4,KELLEY,4804
1355,MR BOEHNE,19991116,9,BOEHNE,5558
1356,MR BERNARD,19991116,1,BERNARD,534
1357,MR BERNARDC,19991116,1,BERNARDC,221
1358,IMR FERGUSON,19991116,2,FERGUSON,1070
1359,MR MATTINGLY,19991116,2,MATTINGLY,529
1360,CHAIRMAN GREENSPAN,19991221,65,GREENSPAN,24930
1361,VICE CHAIRMAN MCDONOUGH,19991221,9,MCDONOUGH,7461
1362,MR FISHER,19991221,9,FISHER,16165
1363,MS MINEHAN,19991221,11,MINEHAN,12145
1364,MR FERGUSON,19991221,33,FERGUSON,15815
1365,MR PRELL,19991221,8,PRELL,11767
1366,MS JOHNSON,19991221,1,JOHNSON,4096
1367,MR MOSKOW,19991221,4,MOSKOW,7915
1368,MR PARRY,19991221,5,PARRY,6592
1369,MR STOCKTON,19991221,5,STOCKTON,3915
1370,MR BROADDUS,19991221,5,BROADDUS,10596
1371,MR POOLE,19991221,4,POOLE,5657
1372,MR HOENIG,19991221,4,HOENIG,5208
1373,MR JORDAN,19991221,6,JORDAN,8874
1374,MR GUYNN,19991221,3,GUYNN,8290
1375,MR BOEHNE,19991221,3,BOEHNE,2224
1376,MR MCTEER,19991221,3,MCTEER,2844
1377,MR STERN,19991221,3,STERN,4539
1378,MR GRAMLICH,19991221,5,GRAMLICH,7230
1379,MR KELLEY,19991221,8,KELLEY,4671
1380,MR MEYER,19991221,6,MEYER,8378
1381,MR BERNARD,19991221,3,BERNARD,540
1382,MR KOHN,19991221,8,KOHN,12753
1383,MR BERNARDC,19991221,1,BERNARDC,220
1384,MS FOX,19991221,3,FOX,496
1385,CHAIRMAN GREENSPAN,20000202,130,GREENSPAN,30062
1386,MS MINEHAN,20000202,20,MINEHAN,14604
1387,MR FERGUSON,20000202,13,FERGUSON,6774
1388,MR KELLEY,20000202,5,KELLEY,4544
1389,VICE CHAIRMAN MCDONOUGH,20000202,16,MCDONOUGH,7067
1390,MR BERNARD,20000202,7,BERNARD,2731
1391,MR FISHER,20000202,7,FISHER,18673
1392,MR KOHN,20000202,22,KOHN,22468
1393,MR BROADDUS,20000202,6,BROADDUS,7509
1394,MR BOEHNE,20000202,6,BOEHNE,3122
1395,MR PRELL,20000202,25,PRELL,20732
1396,MS JOHNSON,20000202,11,JOHNSON,24452
1397,MR STOCKTON,20000202,5,STOCKTON,14848
1398,MR MEYER,20000202,9,MEYER,18097
1399,MR JORDAN,20000202,17,JORDAN,19302
1400,MR PARRY,20000202,19,PARRY,8016
1401,MR STERN,20000202,6,STERN,4528
1402,MR POOLE,20000202,11,POOLE,5447
1403,MR HOENIG,20000202,5,HOENIG,5241
1404,MR MCTEER,20000202,4,MCTEER,3605
1405,MR MOSKOW,20000202,3,MOSKOW,7707
1406,MR GUYNN,20000202,3,GUYNN,5666
1407,MR GRAMLICH,20000202,7,GRAMLICH,11053
1408,MR WHITESELL,20000202,11,WHITESELL,10998
1409,ICHAIRMAN GREENSPAN,20000202,1,GREENSPAN,16
1410,MR BERNARDC,20000202,2,BERNARDC,430
1411,CHAIRMAN GREENSPAN,20000321,93,GREENSPAN,23755
1412,MR BOEHNE,20000321,5,BOEHNE,1350
1413,MR MCTEER,20000321,4,MCTEER,5690
1414,MR FISHER,20000321,24,FISHER,26579
1415,VICE CHAIRMAN MCDONOUGH,20000321,11,MCDONOUGH,4649
1416,MR KOHN,20000321,3,KOHN,11690
1417,MR HOENIG,20000321,10,HOENIG,6554
1418,MR JORDAN,20000321,7,JORDAN,12998
1419,MR BROADDUS,20000321,5,BROADDUS,9480
1420,MR POOLE,20000321,5,POOLE,9522
1421,MR GRAMLICH,20000321,9,GRAMLICH,7947
1422,MS MINEHAN,20000321,10,MINEHAN,8502
1423,MR PARRY,20000321,7,PARRY,5799
1424,MR FERGUSON,20000321,5,FERGUSON,5251
1425,MR PRELL,20000321,11,PRELL,13782
1426,MS JOHNSON,20000321,2,JOHNSON,6656
1427,MR MOSKOW,20000321,4,MOSKOW,5151
1428,MR GUYNN,20000321,2,GUYNN,4037
1429,MR STERN,20000321,2,STERN,2055
1430,MR MEYER,20000321,2,MEYER,4483
1431,MR KELLEY,20000321,2,KELLEY,670
1432,MR BERNARD,20000321,1,BERNARD,752
1433,MR BERNARDC,20000321,1,BERNARDC,215
1434,MS FOX,20000321,1,FOX,23
1435,CHAIRMAN GREENSPAN,20000516,73,GREENSPAN,18363
1436,MR PRELL,20000516,25,PRELL,16929
1437,VICE CHAIRMAN MCDONOUGH,20000516,8,MCDONOUGH,5682
1438,MR FISHER,20000516,9,FISHER,28548
1439,MR MCTEER,20000516,6,MCTEER,4507
1440,MS MINEHAN,20000516,8,MINEHAN,5785
1441,MR BROADDUS,20000516,5,BROADDUS,6518
1442,MR JORDAN,20000516,10,JORDAN,15178
1443,MR GRAMLICH,20000516,5,GRAMLICH,8384
1444,MR REINHART,20000516,9,REINHART,9622
1445,MR HOENIG,20000516,5,HOENIG,4515
1446,MR STERN,20000516,4,STERN,4504
1447,PCEMR STERN,20000516,1,STERN,19
1448,MR POOLE,20000516,3,POOLE,7109
1449,GDPCHAIRMAN GREENSPAN,20000516,1,GREENSPAN,310
1450,MR PARRY,20000516,5,PARRY,5447
1451,MR MOSKOW,20000516,8,MOSKOW,6753
1452,MR STOCKTON,20000516,1,STOCKTON,670
1453,MR GUYNN,20000516,2,GUYNN,4594
1454,MR STONE,20000516,2,STONE,4844
1455,MR FERGUSON,20000516,4,FERGUSON,9041
1456,MR MEYER,20000516,3,MEYER,6893
1457,MR KELLEY,20000516,2,KELLEY,2016
1458,MR LINDSEY,20000516,9,LINDSEY,9592
1459,MR BERNARD,20000516,2,BERNARD,840
1460,MR BERNARDC,20000516,1,BERNARDC,215
1461,CHAIRMAN GREENSPAN,20000628,93,GREENSPAN,32467
1462,VICE CHAIRMAN MCDONOUGH,20000628,6,MCDONOUGH,7141
1463,MR FISHER,20000628,5,FISHER,10205
1464,MR MCTEER,20000628,4,MCTEER,4111
1465,MR STOCKTON,20000628,21,STOCKTON,21844
1466,MS JOHNSON,20000628,3,JOHNSON,17596
1467,MR SLIFMAN,20000628,4,SLIFMAN,10250
1468,GOVERNOR MEYER,20000628,1,MEYER,399
1469,MR POOLE,20000628,10,POOLE,8681
1470,MR MEYER,20000628,8,MEYER,16135
1471,MR KOHN,20000628,11,KOHN,18942
1472,MR REIFSCHNEIDER,20000628,1,REIFSCHNEIDER,45
1473,MR JORDAN,20000628,8,JORDAN,13505
1474,MR PARRY,20000628,7,PARRY,5121
1475,MR GRAMLICH,20000628,8,GRAMLICH,8957
1476,MR BROADDUS,20000628,8,BROADDUS,13748
1477,MR MOSKOW,20000628,2,MOSKOW,6047
1478,MS MINEHAN,20000628,2,MINEHAN,6345
1479,MR GUYNN,20000628,2,GUYNN,6870
1480,MR STONE,20000628,2,STONE,4246
1481,MR STERN,20000628,2,STERN,2973
1482,MR HOENIG,20000628,2,HOENIG,4984
1483,MR KELLEY,20000628,5,KELLEY,4184
1484,MR FERGUSON,20000628,3,FERGUSON,7824
1485,MR BERNARD,20000628,2,BERNARD,819
1486,MR BERNARDC,20000628,1,BERNARDC,215
1487,CHAIRMAN GREENSPAN,20000822,65,GREENSPAN,19294
1488,MR FISHER,20000822,17,FISHER,20374
1489,VICE CHAIRMAN MCDONOUGH,20000822,5,MCDONOUGH,7383
1490,MR FERGUSON,20000822,3,FERGUSON,7139
1491,MR POOLE,20000822,3,POOLE,4287
1492,MR BROADDUS,20000822,7,BROADDUS,8018
1493,MR JORDAN,20000822,16,JORDAN,18026
1494,MR PARRY,20000822,7,PARRY,5060
1495,MR STOCKTON,20000822,6,STOCKTON,11630
1496,MS JOHNSON,20000822,5,JOHNSON,8292
1497,PRESIDENT MOSKOW,20000822,1,MOSKOW,4638
1498,MR GUYNN,20000822,2,GUYNN,4615
1499,MR HOENIG,20000822,3,HOENIG,2634
1500,MS MINEHAN,20000822,2,MINEHAN,7985
1501,MR STERN,20000822,2,STERN,2202
1502,MR MCTEER,20000822,2,MCTEER,3856
1503,MR SANTOMERO,20000822,2,SANTOMERO,4259
1504,MR GRAMLICH,20000822,5,GRAMLICH,6365
1505,MR MEYER,20000822,2,MEYER,10560
1506,MR KELLEY,20000822,2,KELLEY,1772
1507,MR KOHN,20000822,3,KOHN,11661
1508,MR MOSKOW,20000822,1,MOSKOW,831
1509,MR BERNARD,20000822,1,BERNARD,748
1510,MR BERNARDC,20000822,1,BERNARDC,215
1511,CHAIRMAN GREENSPAN,20001003,84,GREENSPAN,28512
1512,MR FISHER,20001003,18,FISHER,13775
1513,MR KOS,20001003,1,KOS,35
1514,VICE CHAIRMAN MCDONOUGH,20001003,14,MCDONOUGH,8073
1515,MR PARRY,20001003,15,PARRY,5291
1516,MR POOLE,20001003,10,POOLE,13062
1517,MR MCTEER,20001003,8,MCTEER,5345
1518,MR FISHERMR MCTEER,20001003,1,MCTEER,89
1519,CHAIRMAN GREENSPANMR FISHER,20001003,1,FISHER,33
1520,MR FISHERL,20001003,1,FISHERL,1344
1521,MR BROADDUS,20001003,6,BROADDUS,7058
1522,MR FERGUSON,20001003,5,FERGUSON,4876
1523,MR STOCKTON,20001003,7,STOCKTON,17298
1524,MS JOHNSON,20001003,5,JOHNSON,8276
1525,FDICHAIRMAN GREENSPAN,20001003,1,GREENSPAN,26
1526,CHAIRMAN GREENSPAN,20001003,1,GRENSPAN,28512
1527,MR GRAMLICH,20001003,8,GRAMLICH,5176
1528,MR HOENIG,20001003,4,HOENIG,4430
1529,MS MINEHAN,20001003,16,MINEHAN,8803
1530,MR GUYNN,20001003,2,GUYNN,4485
1531,MR SANTOMERO,20001003,2,SANTOMERO,3983
1532,MR MOSKOW,20001003,2,MOSKOW,5201
1533,MR JORDAN,20001003,3,JORDAN,8767
1534,MR STERN,20001003,2,STERN,1479
1535,MR MEYER,20001003,2,MEYER,5179
1536,MR KELLEY,20001003,2,KELLEY,1335
1537,MR KOHN,20001003,7,KOHN,11862
1538,MR GILLUM,20001003,1,GILLUM,760
1539,MR GILLUMC,20001003,1,GILLUMC,214
1540,MR SIMPSON,20001003,6,SIMPSON,7610
1541,CHAIRMAN GREENSPAN,20001115,75,GREENSPAN,18045
1542,VICE CHAIRMAN MCDONOUGH,20001115,5,MCDONOUGH,7127
1543,MR FISHER,20001115,14,FISHER,13867
1544,MR BROADDUS,20001115,3,BROADDUS,6756
1545,MR KOHN,20001115,9,KOHN,15972
1546,MR POOLE,20001115,5,POOLE,8991
1547,MR STOCKTON,20001115,12,STOCKTON,16690
1548,MR REINHART,20001115,3,REINHART,6994
1549,MR PARRY,20001115,7,PARRY,6382
1550,MR MOSKOW,20001115,5,MOSKOW,6975
1551,MR GRAMLICH,20001115,5,GRAMLICH,7230
1552,MR MEYER,20001115,7,MEYER,6913
1553,MS MINEHAN,20001115,10,MINEHAN,9188
1554,MR OLINER,20001115,6,OLINER,1766
1555,MR HOENIG,20001115,3,HOENIG,7749
1556,MR GUYNN,20001115,4,GUYNN,6098
1557,MR STERN,20001115,2,STERN,3398
1558,MR MCTEER,20001115,2,MCTEER,3981
1559,MR SANTOMERO,20001115,2,SANTOMERO,8743
1560,MS PIANALTO,20001115,2,PIANALTO,6499
1561,MR FERGUSON,20001115,4,FERGUSON,7254
1562,MR KELLEY,20001115,3,KELLEY,3810
1563,MR MCDONOUGH,20001115,1,MCDONOUGH,42
1564,MR BERNARD,20001115,1,BERNARD,815
1565,MR BERNARDC,20001115,1,BERNARDC,215
1566,CHAIRMAN GREENSPAN,20001219,76,GREENSPAN,18832
1567,VICE CHAIRMAN MCDONOUGH,20001219,11,MCDONOUGH,5047
1568,MR FISHER,20001219,10,FISHER,14115
1569,MR KOS,20001219,1,KOS,13
1570,MR GRAMLICH,20001219,6,GRAMLICH,6353
1571,MR JORDAN,20001219,10,JORDAN,11896
1572,MR STOCKTON,20001219,5,STOCKTON,13403
1573,MS JOHNSON,20001219,1,JOHNSON,6232
1574,MR BROADDUS,20001219,6,BROADDUS,8467
1575,MR KOHN,20001219,7,KOHN,13844
1576,MR MEYER,20001219,3,MEYER,4486
1577,MR POOLE,20001219,4,POOLE,7749
1578,MR KELLEY,20001219,4,KELLEY,3878
1579,MR PARRY,20001219,5,PARRY,6071
1580,MR MCTEER,20001219,2,MCTEER,5333
1581,MS MINEHAN,20001219,8,MINEHAN,7556
1582,MR GUYNN,20001219,2,GUYNN,6792
1583,MR HOENIG,20001219,2,HOENIG,6442
1584,MR MOSKOW,20001219,2,MOSKOW,6694
1585,MR STERN,20001219,2,STERN,3374
1586,MR SANTOMERO,20001219,2,SANTOMERO,5526
1587,MR FERGUSON,20001219,2,FERGUSON,4485
1588,MR BERNARD,20001219,2,BERNARD,739
1589,IMR PARRY,20001219,1,PARRY,4
1590,MR BERNARDC,20001219,1,BERNARDC,215
1591,CHAIRMAN GREENSPAN,20010131,176,GREENSPAN,42902
1592,MS MINEHAN,20010131,29,MINEHAN,19747
1593,VICE CHAIRMAN MCDONOUGH,20010131,31,MCDONOUGH,10873
1594,MR BERNARD,20010131,3,BERNARD,1361
1595,MR FERGUSON,20010131,14,FERGUSON,6337
1596,MR KELLEY,20010131,5,KELLEY,7355
1597,MR KOHN,20010131,19,KOHN,20211
1598,MR BROADDUS,20010131,14,BROADDUS,20335
1599,MR GOODFRIEND,20010131,6,GOODFRIEND,913
1600,MR MEYER,20010131,12,MEYER,11993
1601,MR HOENIG,20010131,10,HOENIG,12248
1602,MR POOLE,20010131,17,POOLE,16623
1603,MR SANTOMERO,20010131,6,SANTOMERO,11859
1604,MR JORDAN,20010131,16,JORDAN,20962
1605,MR STERN,20010131,4,STERN,5442
1606,MR GRAMLICH,20010131,16,GRAMLICH,10027
1607,MR GUYNN,20010131,3,GUYNN,7627
1608,MR MOSKOW,20010131,4,MOSKOW,10427
1609,MR PARRY,20010131,17,PARRY,8031
1610,CHAIRMAN GREENSPAN,20010131,1,GREENPAN,42902
1611,MR FISHER,20010131,44,FISHER,35212
1612,MR MCTEER,20010131,6,MCTEER,6713
1613,MS KRIEGER,20010131,3,KRIEGER,277
1614,MS JOHNSON,20010131,10,JOHNSON,17104
1615,ACFMR GRAMLICH,20010131,1,GRAMLICH,34
1616,MR KOHN ACFMS MINEHAN,20010131,1,MINEHAN,40
1617,MR SLIFMAN,20010131,5,SLIFMAN,13433
1618,MR STOCKTON,20010131,10,STOCKTON,17372
1619,ICHAIRMAN GREENSPAN,20010131,1,GREENSPAN,45
1620,MR MADIGAN,20010131,1,MADIGAN,9598
1621,MR BERNARDC,20010131,1,BERNARDC,215
1622,MS FOX,20010131,4,FOX,425
1623,CHAIRMAN GREENSPAN,20010320,83,GREENSPAN,23955
1624,MS MINEHAN,20010320,6,MINEHAN,9557
1625,VICE CHAIRMAN MCDONOUGH,20010320,13,MCDONOUGH,11975
1626,MR FERGUSON,20010320,5,FERGUSON,9979
1627,MR KOS,20010320,4,KOS,12774
1628,MR KOHN,20010320,4,KOHN,9502
1629,MS JOHNSON,20010320,13,JOHNSON,15389
1630,MR STOCKTON,20010320,8,STOCKTON,16103
1631,MR PARRY,20010320,7,PARRY,5490
1632,MR JORDAN,20010320,8,JORDAN,10461
1633,MR HOENIG,20010320,9,HOENIG,9264
1634,MR POOLE,20010320,7,POOLE,10260
1635,MR GRAMLICH,20010320,7,GRAMLICH,7478
1636,MR SANTOMERO,20010320,2,SANTOMERO,5747
1637,MR MOSKOW,20010320,5,MOSKOW,6819
1638,MR MCTEER,20010320,2,MCTEER,3980
1639,MR STERN,20010320,2,STERN,2914
1640,MR GUYNN,20010320,2,GUYNN,8956
1641,MR BROADDUS,20010320,2,BROADDUS,6901
1642,MR KELLEY,20010320,6,KELLEY,3646
1643,MR MEYER,20010320,6,MEYER,8303
1644,MR BERNARD,20010320,1,BERNARD,726
1645,MR BERNARDC,20010320,1,BERNARDC,215
1646,PRESIDENT MINEHAN,20010320,1,MINEHAN,51
1647,CHAIRMAN GREENSPAN,20010515,87,GREENSPAN,20753
1648,VICE CHAIRMAN MCDONOUGH,20010515,17,MCDONOUGH,12801
1649,MR KOS,20010515,4,KOS,9462
1650,MR PARRY,20010515,11,PARRY,6055
1651,MR KOHN,20010515,7,KOHN,12011
1652,MS JOHNSON,20010515,8,JOHNSON,10659
1653,MR BROADDUS,20010515,5,BROADDUS,11562
1654,MR STOCKTON,20010515,9,STOCKTON,19741
1655,MR MOSKOW,20010515,6,MOSKOW,7763
1656,MS MINEHAN,20010515,10,MINEHAN,12438
1657,MR JORDAN,20010515,2,JORDAN,8857
1658,MR HOENIG,20010515,3,HOENIG,7483
1659,MR GUYNN,20010515,3,GUYNN,7797
1660,MR SANTOMERO,20010515,3,SANTOMERO,6954
1661,MR STERN,20010515,2,STERN,3213
1662,MR POOLE,20010515,2,POOLE,10183
1663,MR MCTEER,20010515,3,MCTEER,3908
1664,MR FERGUSON,20010515,3,FERGUSON,7458
1665,MR GRAMLICH,20010515,5,GRAMLICH,7333
1666,MR KELLEY,20010515,3,KELLEY,3731
1667,MR MEYER,20010515,5,MEYER,5572
1668,MR GILLUM,20010515,4,GILLUM,878
1669,MR GILLUMC,20010515,1,GILLUMC,213
1670,MR GILLUMV,20010515,1,GILLUMV,137
1671,MR GILLUMP,20010515,1,GILLUMP,66
1672,PRESIDENT MOSKOW,20010515,1,MOSKOW,100
1673,CHAIRMAN GREENSPAN,20010627,107,GREENSPAN,31355
1674,MR KOS,20010627,6,KOS,9936
1675,MR JORDAN,20010627,14,JORDAN,17249
1676,MS KRIEGER,20010627,1,KRIEGER,389
1677,MR KOHN,20010627,15,KOHN,24651
1678,VICE CHAIRMAN MCDONOUGH,20010627,15,MCDONOUGH,9812
1679,MR POOLE,20010627,21,POOLE,20893
1680,MR SICHEL,20010627,5,SICHEL,14138
1681,MR STRUCKMEYER,20010627,15,STRUCKMEYER,13722
1682,MR FUHRER,20010627,5,FUHRER,14997
1683,MR STEINDEL,20010627,1,STEINDEL,7596
1684,MR STOCKTON,20010627,16,STOCKTON,22459
1685,MR BROADDUS,20010627,5,BROADDUS,9249
1686,MR PARRY,20010627,5,PARRY,6142
1687,MR STERN,20010627,11,STERN,4823
1688,MS JOHNSON,20010627,16,JOHNSON,20500
1689,MR GRAMLICH,20010627,9,GRAMLICH,7452
1690,MR MEYER,20010627,5,MEYER,10091
1691,MS MINEHAN,20010627,5,MINEHAN,10502
1692,KMR JORDAN,20010627,1,JORDAN,574
1693,MR MOSKOW,20010627,7,MOSKOW,8971
1694,MR MCTEER,20010627,8,MCTEER,6714
1695,MR FERGUSON,20010627,8,FERGUSON,7243
1696,MR WILCOX,20010627,12,WILCOX,16595
1697,MR SLIFMAN,20010627,2,SLIFMAN,281
1698,MR HOENIG,20010627,7,HOENIG,7466
1699,MR KELLEY,20010627,4,KELLEY,5162
1700,MR KELLY,20010627,1,KELLY,121
1701,MR GUYNN,20010627,6,GUYNN,9454
1702,MR SANTOMERO,20010627,2,SANTOMERO,6373
1703,MR BERNARD,20010627,1,BERNARD,729
1704,MR BERNARDC,20010627,1,BERNARDC,214
1705,CHAIRMAN GREENSPAN,20010821,50,GREENSPAN,19115
