date,year,month,quarter,speaker,position,short_name,greeting,briefer_dummy,bucket_1,bucket_2,bucket_3,bucket_4,total,bucket1_perc,bucket2_perc,bucket3_perc,bucket4_perc,speak_count,speak_length,avg_next_speaker_length,avg_next_speaker_gender,laughter_sum,first_to_introduce_topic,sum_interrupted,sum_interrupter,sum_hedge,avg_day_sentiment,avg_sentiment_per_speaker,dissenter_dummy,total_yes_vote,total_no_vote,total_vote,perc_disset_vote,Attendees,Male,Female,Percent.Male.Att,Percent.Female.Att,ATT.NOT.VOTERS,Female.Voters,Male.Voters,Female.NON.Voters,Male.NON.Voters,Number.of.Voters,percent_fem_voter,percent_male_voter,Number.of.NonVoters,percent_female_NONvoters,percent_male_NONvoters,Total.Voters,voter_dummy,fin_crisis,econ_crisis,target_upper,target_lower,target_mid,chair,b1_dummy,b2_dummy,b3_dummy,b4_dummy,fem_dummy,pol_dummy,epu,mpu,shawdow_i_rate
11/3/2010,2010,11,4,mr warsh,governor,warsh,Mr,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,20,30245,311.35,1,4,2,1,5,44,0.056565775,0.014238126,0,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,1,151.6407619,114.8108344,-0.956014191
11/3/2010,2010,11,4,mr lockhart,president,lockhart,Mr,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,10,10400,412.3,1,1,1,0,5,15,0.056565775,0.186184404,NA,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,0,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,1,151.6407619,114.8108344,-0.956014191
11/3/2010,2010,11,4,ms danker,deputy secretary,danker,Ms,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,4,972,258.75,1,0,0,0,5,0,0.056565775,0.091550135,NA,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,0,0,0,0.25,0,0.125,bernanke,0,0,1,0,1,NA,151.6407619,114.8108344,-0.956014191
11/3/2010,2010,11,4,ms yellen,governor,yellen,Ms,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,6,14975,328,1,0,3,0,6,17,0.056565775,0.077652931,0,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,1,0,151.6407619,114.8108344,-0.956014191
11/3/2010,2010,11,4,mr lacker,president,lacker,Mr,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,40,18934,261.1,1,1,3,1,6,26,0.056565775,0.077150192,NA,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,0,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,1,151.6407619,114.8108344,-0.956014191
11/3/2010,2010,11,4,mr fisher,president,fisher,Mr,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,32,31993,130.9375,0.9375,6,12,2,6,22,0.056565775,0.088135391,NA,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,0,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,1,151.6407619,114.8108344,-0.956014191
11/3/2010,2010,11,4,mr wilcox,associate economist,wilcox,Mr,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,7,10597,1799.285714,1,0,1,0,6,5,0.056565775,-0.002082296,NA,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,0,0,0,0.25,0,0.125,bernanke,0,0,0,1,0,NA,151.6407619,114.8108344,-0.956014191
11/3/2010,2010,11,4,mr sheets,economist,sheets,Mr,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,6,11923,1289.5,0.833333333,1,2,0,0,13,0.056565775,0.0861414,NA,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,0,0,0,0.25,0,0.125,bernanke,0,0,0,1,0,NA,151.6407619,114.8108344,-0.956014191
11/3/2010,2010,11,4,mr moore,first vice president,moore,Mr,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,4,5443,49.25,1,5,1,0,5,4,0.056565775,0.181583337,NA,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,0,0,0,0.25,0,0.125,bernanke,0,1,0,0,0,NA,151.6407619,114.8108344,-0.956014191
11/3/2010,2010,11,4,mr kocherlakota,president,kocherlakota,Mr,0,17,12,10,25,64,0.265625,0.1875,0.15625,0.390625,24,14355,1066.375,1,3,8,0,6,29,0.056565775,0.107895593,NA,9,1,10,0.1,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,NA,NA,10,0,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,0,151.6407619,114.8108344,-0.956014191
