,Unnamed: 0,date,bucket_1,bucket_2,bucket_3,bucket_4,total,bucket1_perc,bucket2_perc,bucket3_perc,bucket4_perc,speaker,speak_count,speak_length,avg_next_speaker_length,avg_next_speaker_gender,laughter_sum,first_to_introduce_topic,sum_interrupted,sum_interrupter,sum_hedge,avg_day_sentiment,avg_sentiment_per_speaker,short_name,dissenter_dummy,total_yes_vote,total_no_vote,total_vote,perc_disset_vote,Attendees,Male,Female,Percent Male Att,Percent Female Att,ATT NOT VOTERS,Female Voters,Male Voters,Female NON Voters,Male NON Voters,Number of Voters,percent_fem_voter,percent_male_voter,Number of NonVoters,percent_female_NONvoters,percent_male_NONvoters,Total Voters
49,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,mr hooper,3.0,501.0,220.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0426403505209941,0.1177489177489176,hooper,,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
50,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,mr jordan,20.0,12667.0,369.05,1.0,1.0,0.0,2.0,8.0,18.0,0.0426403505209941,0.0521525668876531,jordan,0.0,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
51,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,mr keehn,11.0,6306.0,40.72727272727273,1.0,0.0,0.0,0.0,8.0,4.0,0.0426403505209941,0.0572829947829948,keehn,,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
52,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,mr kelley,14.0,4666.0,506.8666666666667,1.0,1.0,0.0,0.0,12.0,5.0,0.0426403505209941,0.0582647537647537,kelley,0.0,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
53,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,mr kohn,29.0,8619.0,400.5161290322581,0.967741935483871,1.0,2.0,3.0,15.0,7.0,0.0426403505209941,0.0551806831545015,kohn,,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
54,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,mr laware,10.0,2737.0,229.0,0.9090909090909092,2.0,0.0,0.0,12.0,8.0,0.0426403505209941,0.0440074906367041,laware,0.0,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
55,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,mr lindsey,44.0,13804.0,177.29545454545453,1.0,2.0,1.0,1.0,8.0,21.0,0.0426403505209941,0.0231377506260675,lindsey,0.0,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
56,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,mr lawaremr lindseyi,1.0,83.0,228.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0426403505209941,0.166666666666667,lindseyi,,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
57,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,ms lovett,11.0,3564.0,326.1666666666667,0.9166666666666666,1.0,1.0,0.0,11.0,7.0,0.0426403505209941,0.0570268682874366,lovett,,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
58,39,19940204,17,9,4,22,52,0.3269230769230769,0.173076923076923,0.0769230769230769,0.4230769230769231,mr mattingly,3.0,241.0,20.666666666666668,1.0,0.0,1.0,0.0,0.0,0.0,0.0426403505209941,-0.0105820105820106,mattingly,,10.0,0.0,10.0,0.0,52.0,47.0,5.0,0.903846153846154,0.0961538461538461,42.0,1.0,9.0,0.0,0.0,10.0,0.1,0.9,0.0,,,10.0
