,speaker,date,speak_count,speaker_unique
116,MR BERNARDC,19940706,3,BERNARDC
117,CHAIRMAN GREENSPAN,19940816,82,GREENSPAN
118,MS YELLEN,19940816,4,YELLEN
119,MS MINEHAN,19940816,10,MINEHAN
120,VICE CHAIRMAN MCDONOUGH,19940816,3,MCDONOUGH
121,MR KELLEY,19940816,4,KELLEY
122,MR FISHER,19940816,3,FISHER
123,MR BLINDER,19940816,10,BLINDER
124,MS LOVETT,19940816,1,LOVETT
125,MR PRELL,19940816,20,PRELL
126,MR PARRY,19940816,3,PARRY
127,MR LAWARE,19940816,6,LAWARE
128,MR STERN,19940816,6,STERN
129,MR KOHN,19940816,5,KOHN
130,MR JORDAN,19940816,4,JORDAN
131,MR BROADDUS,19940816,2,BROADDUS
132,MR FORRESTAL,19940816,3,FORRESTAL
133,MR HOENIG,19940816,2,HOENIG
134,MR BOEHNE,19940816,3,BOEHNE
135,MR MELZER,19940816,8,MELZER
136,MR MCTEER,19940816,2,MCTEER
137,MS PHILLIPS,19940816,3,PHILLIPS
138,MR LINDSEY,19940816,6,LINDSEY
139,NIPAMR LINDSEY,19940816,1,LINDSEY
140,MR CONRAD,19940816,2,CONRAD
141,MR BERNARD,19940816,4,BERNARD
142,MR BERNARDC,19940816,1,BERNARDC
143,CHAIRMAN GREENSPAN,19940927,70,GREENSPAN
144,VICE CHAIRMAN MCDONOUGH,19940927,6,MCDONOUGH
145,MR FISHER,19940927,14,FISHER
146,CHAIRMAN GREENSPZ,19940927,1,GREENSPZ
147,MR BLINDER,19940927,16,BLINDER
148,MR BROADDUS,19940927,7,BROADDUS
149,VICE CHAIR,19940927,1,CHAIR
150,AN MCDONOUGH,19940927,1,MCDONOUGH
151,MR FORRESTAL,19940927,3,FORRESTAL
152,MR PARRY,19940927,7,PARRY
153,MR TRUMAN,19940927,5,TRUMAN
154,MR MELZER,19940927,7,MELZER
155,MS LOVETT,19940927,7,LOVETT
156,MR MCTEER,19940927,7,MCTEER
