,speaker,date,speak_count,speaker_unique
1362,MR FISHER,19991221,9,FISHER
1363,MS MINEHAN,19991221,11,MINEHAN
1364,MR FERGUSON,19991221,33,FERGUSON
1365,MR PRELL,19991221,8,PRELL
1366,MS JOHNSON,19991221,1,JOHNSON
1367,MR MOSKOW,19991221,4,MOSKOW
1368,MR PARRY,19991221,5,PARRY
1369,MR STOCKTON,19991221,5,STOCKTON
1370,MR BROADDUS,19991221,5,BROADDUS
1371,MR POOLE,19991221,4,POOLE
1372,MR HOENIG,19991221,4,HOENIG
1373,MR JORDAN,19991221,6,JORDAN
1374,MR GUYNN,19991221,3,GUYNN
1375,MR BOEHNE,19991221,3,BOEHNE
1376,MR MCTEER,19991221,3,MCTEER
1377,MR STERN,19991221,3,STERN
1378,MR GRAMLICH,19991221,5,GRAMLICH
1379,MR KELLEY,19991221,8,KELLEY
1380,MR MEYER,19991221,6,MEYER
1381,MR BERNARD,19991221,3,BERNARD
1382,MR KOHN,19991221,8,KOHN
1383,MR BERNARDC,19991221,1,BERNARDC
1384,MS FOX,19991221,3,FOX
1385,CHAIRMAN GREENSPAN,20000202,130,GREENSPAN
1386,MS MINEHAN,20000202,20,MINEHAN
1387,MR FERGUSON,20000202,13,FERGUSON
1388,MR KELLEY,20000202,5,KELLEY
1389,VICE CHAIRMAN MCDONOUGH,20000202,16,MCDONOUGH
1390,MR BERNARD,20000202,7,BERNARD
1391,MR FISHER,20000202,7,FISHER
1392,MR KOHN,20000202,22,KOHN
1393,MR BROADDUS,20000202,6,BROADDUS
1394,MR BOEHNE,20000202,6,BOEHNE
1395,MR PRELL,20000202,25,PRELL
1396,MS JOHNSON,20000202,11,JOHNSON
1397,MR STOCKTON,20000202,5,STOCKTON
1398,MR MEYER,20000202,9,MEYER
1399,MR JORDAN,20000202,17,JORDAN
1400,MR PARRY,20000202,19,PARRY
1401,MR STERN,20000202,6,STERN
1402,MR POOLE,20000202,11,POOLE
1403,MR HOENIG,20000202,5,HOENIG
1404,MR MCTEER,20000202,4,MCTEER
1405,MR MOSKOW,20000202,3,MOSKOW
1406,MR GUYNN,20000202,3,GUYNN
1407,MR GRAMLICH,20000202,7,GRAMLICH
1408,MR WHITESELL,20000202,11,WHITESELL
1409,ICHAIRMAN GREENSPAN,20000202,1,GREENSPAN
1410,MR BERNARDC,20000202,2,BERNARDC
1411,CHAIRMAN GREENSPAN,20000321,93,GREENSPAN
1412,MR BOEHNE,20000321,5,BOEHNE
1413,MR MCTEER,20000321,4,MCTEER
1414,MR FISHER,20000321,24,FISHER
1415,VICE CHAIRMAN MCDONOUGH,20000321,11,MCDONOUGH
1416,MR KOHN,20000321,3,KOHN
1417,MR HOENIG,20000321,10,HOENIG
1418,MR JORDAN,20000321,7,JORDAN
1419,MR BROADDUS,20000321,5,BROADDUS
1420,MR POOLE,20000321,5,POOLE
1421,MR GRAMLICH,20000321,9,GRAMLICH
1422,MS MINEHAN,20000321,10,MINEHAN
1423,MR PARRY,20000321,7,PARRY
1424,MR FERGUSON,20000321,5,FERGUSON
1425,MR PRELL,20000321,11,PRELL
1426,MS JOHNSON,20000321,2,JOHNSON
1427,MR MOSKOW,20000321,4,MOSKOW
1428,MR GUYNN,20000321,2,GUYNN
1429,MR STERN,20000321,2,STERN
1430,MR MEYER,20000321,2,MEYER
1431,MR KELLEY,20000321,2,KELLEY
1432,MR BERNARD,20000321,1,BERNARD
1433,MR BERNARDC,20000321,1,BERNARDC
1434,MS FOX,20000321,1,FOX
1435,CHAIRMAN GREENSPAN,20000516,73,GREENSPAN
1436,MR PRELL,20000516,25,PRELL
1437,VICE CHAIRMAN MCDONOUGH,20000516,8,MCDONOUGH
1438,MR FISHER,20000516,9,FISHER
1439,MR MCTEER,20000516,6,MCTEER
1440,MS MINEHAN,20000516,8,MINEHAN
1441,MR BROADDUS,20000516,5,BROADDUS
1442,MR JORDAN,20000516,10,JORDAN
1443,MR GRAMLICH,20000516,5,GRAMLICH
1444,MR REINHART,20000516,9,REINHART
1445,MR HOENIG,20000516,5,HOENIG
1446,MR STERN,20000516,4,STERN
1447,PCEMR STERN,20000516,1,STERN
1448,MR POOLE,20000516,3,POOLE
1449,GDPCHAIRMAN GREENSPAN,20000516,1,GREENSPAN
1450,MR PARRY,20000516,5,PARRY
1451,MR MOSKOW,20000516,8,MOSKOW
1452,MR STOCKTON,20000516,1,STOCKTON
1453,MR GUYNN,20000516,2,GUYNN
1454,MR STONE,20000516,2,STONE
1455,MR FERGUSON,20000516,4,FERGUSON
1456,MR MEYER,20000516,3,MEYER
1457,MR KELLEY,20000516,2,KELLEY
1458,MR LINDSEY,20000516,9,LINDSEY
1459,MR BERNARD,20000516,2,BERNARD
1460,MR BERNARDC,20000516,1,BERNARDC
1461,CHAIRMAN GREENSPAN,20000628,93,GREENSPAN
1462,VICE CHAIRMAN MCDONOUGH,20000628,6,MCDONOUGH
1463,MR FISHER,20000628,5,FISHER
1464,MR MCTEER,20000628,4,MCTEER
1465,MR STOCKTON,20000628,21,STOCKTON
1466,MS JOHNSON,20000628,3,JOHNSON
1467,MR SLIFMAN,20000628,4,SLIFMAN
1468,GOVERNOR MEYER,20000628,1,MEYER
1469,MR POOLE,20000628,10,POOLE
1470,MR MEYER,20000628,8,MEYER
1471,MR KOHN,20000628,11,KOHN
1472,MR REIFSCHNEIDER,20000628,1,REIFSCHNEIDER
1473,MR JORDAN,20000628,8,JORDAN
1474,MR PARRY,20000628,7,PARRY
1475,MR GRAMLICH,20000628,8,GRAMLICH
1476,MR BROADDUS,20000628,8,BROADDUS
1477,MR MOSKOW,20000628,2,MOSKOW
1478,MS MINEHAN,20000628,2,MINEHAN
1479,MR GUYNN,20000628,2,GUYNN
1480,MR STONE,20000628,2,STONE
1481,MR STERN,20000628,2,STERN
1482,MR HOENIG,20000628,2,HOENIG
1483,MR KELLEY,20000628,5,KELLEY
1484,MR FERGUSON,20000628,3,FERGUSON
1485,MR BERNARD,20000628,2,BERNARD
1486,MR BERNARDC,20000628,1,BERNARDC
1487,CHAIRMAN GREENSPAN,20000822,65,GREENSPAN
1488,MR FISHER,20000822,17,FISHER
1489,VICE CHAIRMAN MCDONOUGH,20000822,5,MCDONOUGH
1490,MR FERGUSON,20000822,3,FERGUSON
1491,MR POOLE,20000822,3,POOLE
1492,MR BROADDUS,20000822,7,BROADDUS
1493,MR JORDAN,20000822,16,JORDAN
1494,MR PARRY,20000822,7,PARRY
1495,MR STOCKTON,20000822,6,STOCKTON
1496,MS JOHNSON,20000822,5,JOHNSON
1497,PRESIDENT MOSKOW,20000822,1,MOSKOW
1498,MR GUYNN,20000822,2,GUYNN
1499,MR HOENIG,20000822,3,HOENIG
1500,MS MINEHAN,20000822,2,MINEHAN
1501,MR STERN,20000822,2,STERN
1502,MR MCTEER,20000822,2,MCTEER
1503,MR SANTOMERO,20000822,2,SANTOMERO
1504,MR GRAMLICH,20000822,5,GRAMLICH
1505,MR MEYER,20000822,2,MEYER
1506,MR KELLEY,20000822,2,KELLEY
1507,MR KOHN,20000822,3,KOHN
1508,MR MOSKOW,20000822,1,MOSKOW
1509,MR BERNARD,20000822,1,BERNARD
1510,MR BERNARDC,20000822,1,BERNARDC
1511,CHAIRMAN GREENSPAN,20001003,84,GREENSPAN
1512,MR FISHER,20001003,18,FISHER
1513,MR KOS,20001003,1,KOS
1514,VICE CHAIRMAN MCDONOUGH,20001003,14,MCDONOUGH
1515,MR PARRY,20001003,15,PARRY
1516,MR POOLE,20001003,10,POOLE
1517,MR MCTEER,20001003,8,MCTEER
1518,MR FISHERMR MCTEER,20001003,1,MCTEER
1519,CHAIRMAN GREENSPANMR FISHER,20001003,1,FISHER
1520,MR FISHERL,20001003,1,FISHERL
1521,MR BROADDUS,20001003,6,BROADDUS
1522,MR FERGUSON,20001003,5,FERGUSON
1523,MR STOCKTON,20001003,7,STOCKTON
1524,MS JOHNSON,20001003,5,JOHNSON
1525,FDICHAIRMAN GREENSPAN,20001003,1,GREENSPAN
1526,CHAIRMAN GREENSPAN,20001003,1,GRENSPAN
1527,MR GRAMLICH,20001003,8,GRAMLICH
1528,MR HOENIG,20001003,4,HOENIG
1529,MS MINEHAN,20001003,16,MINEHAN
1530,MR GUYNN,20001003,2,GUYNN
1531,MR SANTOMERO,20001003,2,SANTOMERO
1532,MR MOSKOW,20001003,2,MOSKOW
1533,MR JORDAN,20001003,3,JORDAN
1534,MR STERN,20001003,2,STERN
1535,MR MEYER,20001003,2,MEYER
1536,MR KELLEY,20001003,2,KELLEY
1537,MR KOHN,20001003,7,KOHN
1538,MR GILLUM,20001003,1,GILLUM
1539,MR GILLUMC,20001003,1,GILLUMC
1540,MR SIMPSON,20001003,6,SIMPSON
1541,CHAIRMAN GREENSPAN,20001115,75,GREENSPAN
1542,VICE CHAIRMAN MCDONOUGH,20001115,5,MCDONOUGH
1543,MR FISHER,20001115,14,FISHER
1544,MR BROADDUS,20001115,3,BROADDUS
1545,MR KOHN,20001115,9,KOHN
1546,MR POOLE,20001115,5,POOLE
1547,MR STOCKTON,20001115,12,STOCKTON
1548,MR REINHART,20001115,3,REINHART
1549,MR PARRY,20001115,7,PARRY
1550,MR MOSKOW,20001115,5,MOSKOW
1551,MR GRAMLICH,20001115,5,GRAMLICH
1552,MR MEYER,20001115,7,MEYER
1553,MS MINEHAN,20001115,10,MINEHAN
1554,MR OLINER,20001115,6,OLINER
1555,MR HOENIG,20001115,3,HOENIG
1556,MR GUYNN,20001115,4,GUYNN
1557,MR STERN,20001115,2,STERN
1558,MR MCTEER,20001115,2,MCTEER
1559,MR SANTOMERO,20001115,2,SANTOMERO
1560,MS PIANALTO,20001115,2,PIANALTO
1561,MR FERGUSON,20001115,4,FERGUSON
1562,MR KELLEY,20001115,3,KELLEY
1563,MR MCDONOUGH,20001115,1,MCDONOUGH
1564,MR BERNARD,20001115,1,BERNARD
1565,MR BERNARDC,20001115,1,BERNARDC
1566,CHAIRMAN GREENSPAN,20001219,76,GREENSPAN
1567,VICE CHAIRMAN MCDONOUGH,20001219,11,MCDONOUGH
1568,MR FISHER,20001219,10,FISHER
1569,MR KOS,20001219,1,KOS
1570,MR GRAMLICH,20001219,6,GRAMLICH
1571,MR JORDAN,20001219,10,JORDAN
1572,MR STOCKTON,20001219,5,STOCKTON
1573,MS JOHNSON,20001219,1,JOHNSON
1574,MR BROADDUS,20001219,6,BROADDUS
1575,MR KOHN,20001219,7,KOHN
1576,MR MEYER,20001219,3,MEYER
1577,MR POOLE,20001219,4,POOLE
1578,MR KELLEY,20001219,4,KELLEY
1579,MR PARRY,20001219,5,PARRY
1580,MR MCTEER,20001219,2,MCTEER
1581,MS MINEHAN,20001219,8,MINEHAN
1582,MR GUYNN,20001219,2,GUYNN
1583,MR HOENIG,20001219,2,HOENIG
1584,MR MOSKOW,20001219,2,MOSKOW
1585,MR STERN,20001219,2,STERN
1586,MR SANTOMERO,20001219,2,SANTOMERO
1587,MR FERGUSON,20001219,2,FERGUSON
1588,MR BERNARD,20001219,2,BERNARD
1589,IMR PARRY,20001219,1,PARRY
1590,MR BERNARDC,20001219,1,BERNARDC
1591,CHAIRMAN GREENSPAN,20010131,176,GREENSPAN
1592,MS MINEHAN,20010131,29,MINEHAN
1593,VICE CHAIRMAN MCDONOUGH,20010131,31,MCDONOUGH
1594,MR BERNARD,20010131,3,BERNARD
1595,MR FERGUSON,20010131,14,FERGUSON
1596,MR KELLEY,20010131,5,KELLEY
1597,MR KOHN,20010131,19,KOHN
1598,MR BROADDUS,20010131,14,BROADDUS
1599,MR GOODFRIEND,20010131,6,GOODFRIEND
1600,MR MEYER,20010131,12,MEYER
1601,MR HOENIG,20010131,10,HOENIG
1602,MR POOLE,20010131,17,POOLE
1603,MR SANTOMERO,20010131,6,SANTOMERO
1604,MR JORDAN,20010131,16,JORDAN
1605,MR STERN,20010131,4,STERN
1606,MR GRAMLICH,20010131,16,GRAMLICH
1607,MR GUYNN,20010131,3,GUYNN
1608,MR MOSKOW,20010131,4,MOSKOW
1609,MR PARRY,20010131,17,PARRY
1610,CHAIRMAN GREENSPAN,20010131,1,GREENPAN
1611,MR FISHER,20010131,44,FISHER
1612,MR MCTEER,20010131,6,MCTEER
1613,MS KRIEGER,20010131,3,KRIEGER
1614,MS JOHNSON,20010131,10,JOHNSON
1615,ACFMR GRAMLICH,20010131,1,GRAMLICH
1616,MR KOHN ACFMS MINEHAN,20010131,1,MINEHAN
1617,MR SLIFMAN,20010131,5,SLIFMAN
1618,MR STOCKTON,20010131,10,STOCKTON
1619,ICHAIRMAN GREENSPAN,20010131,1,GREENSPAN
1620,MR MADIGAN,20010131,1,MADIGAN
1621,MR BERNARDC,20010131,1,BERNARDC
1622,MS FOX,20010131,4,FOX
1623,CHAIRMAN GREENSPAN,20010320,83,GREENSPAN
1624,MS MINEHAN,20010320,6,MINEHAN
1625,VICE CHAIRMAN MCDONOUGH,20010320,13,MCDONOUGH
1626,MR FERGUSON,20010320,5,FERGUSON
1627,MR KOS,20010320,4,KOS
1628,MR KOHN,20010320,4,KOHN
1629,MS JOHNSON,20010320,13,JOHNSON
1630,MR STOCKTON,20010320,8,STOCKTON
1631,MR PARRY,20010320,7,PARRY
1632,MR JORDAN,20010320,8,JORDAN
1633,MR HOENIG,20010320,9,HOENIG
1634,MR POOLE,20010320,7,POOLE
1635,MR GRAMLICH,20010320,7,GRAMLICH
1636,MR SANTOMERO,20010320,2,SANTOMERO
1637,MR MOSKOW,20010320,5,MOSKOW
1638,MR MCTEER,20010320,2,MCTEER
1639,MR STERN,20010320,2,STERN
1640,MR GUYNN,20010320,2,GUYNN
1641,MR BROADDUS,20010320,2,BROADDUS
1642,MR KELLEY,20010320,6,KELLEY
1643,MR MEYER,20010320,6,MEYER
1644,MR BERNARD,20010320,1,BERNARD
1645,MR BERNARDC,20010320,1,BERNARDC
1646,PRESIDENT MINEHAN,20010320,1,MINEHAN
1647,CHAIRMAN GREENSPAN,20010515,87,GREENSPAN
1648,VICE CHAIRMAN MCDONOUGH,20010515,17,MCDONOUGH
1649,MR KOS,20010515,4,KOS
1650,MR PARRY,20010515,11,PARRY
1651,MR KOHN,20010515,7,KOHN
1652,MS JOHNSON,20010515,8,JOHNSON
1653,MR BROADDUS,20010515,5,BROADDUS
1654,MR STOCKTON,20010515,9,STOCKTON
1655,MR MOSKOW,20010515,6,MOSKOW
1656,MS MINEHAN,20010515,10,MINEHAN
1657,MR JORDAN,20010515,2,JORDAN
1658,MR HOENIG,20010515,3,HOENIG
1659,MR GUYNN,20010515,3,GUYNN
1660,MR SANTOMERO,20010515,3,SANTOMERO
1661,MR STERN,20010515,2,STERN
1662,MR POOLE,20010515,2,POOLE
1663,MR MCTEER,20010515,3,MCTEER
1664,MR FERGUSON,20010515,3,FERGUSON
1665,MR GRAMLICH,20010515,5,GRAMLICH
1666,MR KELLEY,20010515,3,KELLEY
1667,MR MEYER,20010515,5,MEYER
1668,MR GILLUM,20010515,4,GILLUM
1669,MR GILLUMC,20010515,1,GILLUMC
1670,MR GILLUMV,20010515,1,GILLUMV
1671,MR GILLUMP,20010515,1,GILLUMP
1672,PRESIDENT MOSKOW,20010515,1,MOSKOW
1673,CHAIRMAN GREENSPAN,20010627,107,GREENSPAN
1674,MR KOS,20010627,6,KOS
1675,MR JORDAN,20010627,14,JORDAN
1676,MS KRIEGER,20010627,1,KRIEGER
1677,MR KOHN,20010627,15,KOHN
1678,VICE CHAIRMAN MCDONOUGH,20010627,15,MCDONOUGH
1679,MR POOLE,20010627,21,POOLE
1680,MR SICHEL,20010627,5,SICHEL
1681,MR STRUCKMEYER,20010627,15,STRUCKMEYER
1682,MR FUHRER,20010627,5,FUHRER
1683,MR STEINDEL,20010627,1,STEINDEL
1684,MR STOCKTON,20010627,16,STOCKTON
1685,MR BROADDUS,20010627,5,BROADDUS
1686,MR PARRY,20010627,5,PARRY
1687,MR STERN,20010627,11,STERN
1688,MS JOHNSON,20010627,16,JOHNSON
1689,MR GRAMLICH,20010627,9,GRAMLICH
1690,MR MEYER,20010627,5,MEYER
1691,MS MINEHAN,20010627,5,MINEHAN
1692,KMR JORDAN,20010627,1,JORDAN
1693,MR MOSKOW,20010627,7,MOSKOW
1694,MR MCTEER,20010627,8,MCTEER
1695,MR FERGUSON,20010627,8,FERGUSON
1696,MR WILCOX,20010627,12,WILCOX
1697,MR SLIFMAN,20010627,2,SLIFMAN
1698,MR HOENIG,20010627,7,HOENIG
1699,MR KELLEY,20010627,4,KELLEY
1700,MR KELLY,20010627,1,KELLY
1701,MR GUYNN,20010627,6,GUYNN
1702,MR SANTOMERO,20010627,2,SANTOMERO
1703,MR BERNARD,20010627,1,BERNARD
1704,MR BERNARDC,20010627,1,BERNARDC
1705,CHAIRMAN GREENSPAN,20010821,50,GREENSPAN
1706,VICE CHAIRMAN MCDONOUGH,20010821,7,MCDONOUGH
1707,MS MINEHAN,20010821,5,MINEHAN
1708,MR KOS,20010821,1,KOS
1709,MR PARRY,20010821,6,PARRY
1710,MR WILCOX,20010821,3,WILCOX
1711,MR REINHART,20010821,1,REINHART
1712,MR BROADDUS,20010821,4,BROADDUS
1713,MR MCTEER,20010821,3,MCTEER
1714,MR MOSKOW,20010821,2,MOSKOW
1715,MR STERN,20010821,3,STERN
1716,MR GUYNN,20010821,3,GUYNN
1717,MR SANTOMERO,20010821,2,SANTOMERO
1718,MR HOENIG,20010821,3,HOENIG
1719,MR JORDAN,20010821,2,JORDAN
1720,MR FERGUSON,20010821,3,FERGUSON
1721,MR POOLE,20010821,2,POOLE
1722,MR GRAMLICH,20010821,2,GRAMLICH
1723,MR MEYER,20010821,2,MEYER
1724,MR KELLEY,20010821,2,KELLEY
1725,MR KOHN,20010821,1,KOHN
1726,MS SMITH,20010821,1,SMITH
1727,MR BERNARD,20010821,2,BERNARD
1728,MR BERNARDC,20010821,1,BERNARDC
1729,CHAIRMAN GREENSPAN,20011002,66,GREENSPAN
1730,VICE CHAIRMAN MCDONOUGH,20011002,6,MCDONOUGH
1731,MR KOS,20011002,9,KOS
1732,MR POOLE,20011002,5,POOLE
1733,MR JORDAN,20011002,7,JORDAN
1734,MR REINHART,20011002,2,REINHART
1735,MR HILTON,20011002,1,HILTON
1736,MS MINEHAN,20011002,8,MINEHAN
1737,MR STOCKTON,20011002,7,STOCKTON
1738,MS JOHNSON,20011002,3,JOHNSON
1739,MR MOSKOW,20011002,4,MOSKOW
1740,MR PARRY,20011002,7,PARRY
1741,MR MCTEER,20011002,2,MCTEER
1742,MR STERN,20011002,2,STERN
1743,MR HOENIG,20011002,3,HOENIG
1744,MR GUYNN,20011002,2,GUYNN
1745,MR SANTOMERO,20011002,2,SANTOMERO
1746,MR BROADDUS,20011002,2,BROADDUS
1747,MR FERGUSON,20011002,2,FERGUSON
1748,MR KELLEY,20011002,2,KELLEY
1749,MR MEYER,20011002,3,MEYER
1750,MR GRAMLICH,20011002,3,GRAMLICH
1751,MR KOHN,20011002,3,KOHN
1752,MR BERNARD,20011002,1,BERNARD
1753,MR BERNARDC,20011002,1,BERNARDC
1754,CHAIRMAN GREENSPAN,20011106,98,GREENSPAN
1755,VICE CHAIRMAN MCDONOUGH,20011106,20,MCDONOUGH
1756,MR KOS,20011106,9,KOS
1757,MR REINHART,20011106,3,REINHART
1758,MR POOLE,20011106,9,POOLE
1759,MR STOCKTON,20011106,16,STOCKTON
1760,MS JOHNSON,20011106,2,JOHNSON
1761,MR MOSKOW,20011106,8,MOSKOW
1762,MR BROADDUS,20011106,5,BROADDUS
1763,MR WILCOX,20011106,3,WILCOX
1764,MR MEYER,20011106,7,MEYER
1765,MR PARRY,20011106,12,PARRY
1766,MR STERN,20011106,5,STERN
1767,MR MCTEER,20011106,2,MCTEER
1768,MS MINEHAN,20011106,27,MINEHAN
1769,MR GUYNN,20011106,2,GUYNN
1770,MR HOENIG,20011106,7,HOENIG
1771,MR SANTOMERO,20011106,2,SANTOMERO
1772,MR JORDAN,20011106,3,JORDAN
1773,MR FERGUSON,20011106,3,FERGUSON
1774,MR GRAMLICH,20011106,6,GRAMLICH
1775,MR KELLEY,20011106,3,KELLEY
1776,MR KOHN,20011106,8,KOHN
1777,CHAIRMAN GREENSPAN,20011106,1,GREENPAN
1778,MR BERNARD,20011106,2,BERNARD
1779,MR BERNARDC,20011106,1,BERNARDC
1780,CHAIRMAN GREENSPAN,20011211,80,GREENSPAN
1781,MS BIES,20011211,3,BIES
1782,MR OLSON,20011211,3,OLSON
1783,VICE CHAIRMAN MCDONOUGH,20011211,8,MCDONOUGH
1784,MS MINEHAN,20011211,11,MINEHAN
1785,MR KOS,20011211,6,KOS
1786,CHAIRMAN GREENSPAN,20011211,4,GREENPAN
1787,MR REINHART,20011211,11,REINHART
1788,MR HOWARD,20011211,3,HOWARD
1789,MS JOHNSON,20011211,1,JOHNSON
1790,MR STOCKTON,20011211,19,STOCKTON
1791,MR POOLE,20011211,6,POOLE
1792,MR JORDAN,20011211,6,JORDAN
1793,MR MOSKOW,20011211,4,MOSKOW
1794,MR PARRY,20011211,6,PARRY
1795,MR KOHN,20011211,13,KOHN
1796,MR MCTEER,20011211,4,MCTEER
1797,MR HOENIG,20011211,6,HOENIG
1798,MR GUYNN,20011211,3,GUYNN
1799,MR BROADDUS,20011211,3,BROADDUS
1800,MR STERN,20011211,2,STERN
1801,MR SANTOMERO,20011211,2,SANTOMERO
1802,MR GRAMLICH,20011211,2,GRAMLICH
1803,MR FERGUSON,20011211,2,FERGUSON
1804,MR MEYER,20011211,2,MEYER
1805,MR BERNARD,20011211,1,BERNARD
1806,MR BERNARDC,20011211,1,BERNARDC
1807,CHAIRMAN GREENSPAN,20020130,115,GREENSPAN
1808,MR FERGUSON,20020130,45,FERGUSON
1809,MR OLSON,20020130,5,OLSON
1810,MR STERN,20020130,6,STERN
1811,MR BERNARDS,20020130,1,BERNARDS
1812,VICE CHAIRMAN MCDONOUGH,20020130,19,MCDONOUGH
1813,MR KOS,20020130,3,KOS
1814,MR POOLE,20020130,22,POOLE
1815,MR JORDAN,20020130,10,JORDAN
1816,MR REIFSCHNEIDER,20020130,6,REIFSCHNEIDER
1817,MR WILLIAMS,20020130,7,WILLIAMS
1818,MR STOCKTON,20020130,9,STOCKTON
1819,MR GOODFRIEND,20020130,6,GOODFRIEND
1820,MR PARRY,20020130,18,PARRY
1821,MR BROADDUS,20020130,7,BROADDUS
1822,MR WILCOX,20020130,8,WILCOX
1823,MR SLIFMAN,20020130,8,SLIFMAN
1824,MS JOHNSON,20020130,1,JOHNSON
1825,MR MOSKOW,20020130,12,MOSKOW
1826,MR GRAMLICH,20020130,4,GRAMLICH
1827,MS MINEHAN,20020130,18,MINEHAN
1828,MR SANTOMERO,20020130,5,SANTOMERO
1829,MR MCTEER,20020130,4,MCTEER
1830,MR HOENIG,20020130,3,HOENIG
1831,MR GUYNN,20020130,3,GUYNN
1832,MS BIES,20020130,3,BIES
1833,MR KOHN,20020130,8,KOHN
1834,MR BERNARD,20020130,1,BERNARD
1835,MR BERNARDC,20020130,1,BERNARDC
1836,MR MATTINGLY,20020130,14,MATTINGLY
1837,CHAIRMAN GREENSPAN,20020319,91,GREENSPAN
1838,VICE CHAIRMAN MCDONOUGH,20020319,14,MCDONOUGH
1839,MR KOS,20020319,4,KOS
1840,MS JOHNSON,20020319,9,JOHNSON
1841,MR PARRY,20020319,11,PARRY
1842,MR JORDAN,20020319,5,JORDAN
1843,MR REINHART,20020319,8,REINHART
1844,MR KOHN,20020319,6,KOHN
1845,MR BROADDUS,20020319,8,BROADDUS
1846,MR POOLE,20020319,6,POOLE
1847,MR STERN,20020319,4,STERN
1848,MR GRAMLICH,20020319,8,GRAMLICH
1849,MR SANTOMERO,20020319,4,SANTOMERO
1850,MS MINEHAN,20020319,10,MINEHAN
1851,MR FERGUSON,20020319,19,FERGUSON
1852,MR HOENIG,20020319,5,HOENIG
1853,MS BIES,20020319,4,BIES
1854,MR MOSKOW,20020319,5,MOSKOW
1855,MR GUYNN,20020319,5,GUYNN
1856,MR MCTEER,20020319,6,MCTEER
1857,MR STOCKTON,20020319,9,STOCKTON
1858,MR OLSON,20020319,2,OLSON
1859,MR BERNARD,20020319,1,BERNARD
1860,MR BERNARDC,20020319,1,BERNARDC
1861,CHAIRMAN GREENSPAN,20020507,87,GREENSPAN
1862,VICE CHAIRMAN MCDONOUGH,20020507,8,MCDONOUGH
1863,MR KOS,20020507,7,KOS
1864,MR REINHART,20020507,8,REINHART
1865,GECHAIRMAN GREENSPAN,20020507,1,GREENSPAN
1866,MR STOCKTON,20020507,12,STOCKTON
1867,MS JOHNSON,20020507,13,JOHNSON
1868,MR PARRY,20020507,8,PARRY
1869,MR POOLE,20020507,5,POOLE
1870,MR MOSKOW,20020507,2,MOSKOW
1871,MS MINEHAN,20020507,5,MINEHAN
1872,MR STERN,20020507,3,STERN
1873,MR JORDAN,20020507,2,JORDAN
1874,MR SANTOMERO,20020507,5,SANTOMERO
1875,MR GUYNN,20020507,2,GUYNN
1876,MR BROADDUS,20020507,3,BROADDUS
1877,MR MCTEER,20020507,3,MCTEER
1878,MR HOENIG,20020507,2,HOENIG
1879,MR FERGUSON,20020507,2,FERGUSON
1880,MR GRAMLICH,20020507,3,GRAMLICH
1881,MS BIES,20020507,2,BIES
1882,MR OLSON,20020507,5,OLSON
1883,MR KOHN,20020507,3,KOHN
1884,MR BERNARD,20020507,2,BERNARD
1885,CHAIRMAN GREENSPAN,20020626,106,GREENSPAN
1886,VICE CHAIRMAN MCDONOUGH,20020626,14,MCDONOUGH
1887,MR KOS,20020626,1,KOS
1888,MR ROLNICK,20020626,15,ROLNICK
1889,MR MOSKOW,20020626,13,MOSKOW
1890,MR PARRY,20020626,20,PARRY
1891,MR STOCKTON,20020626,9,STOCKTON
1892,MS MINEHAN,20020626,6,MINEHAN
1893,MR ROBERTS,20020626,8,ROBERTS
1894,MR LEBOW,20020626,8,LEBOW
1895,MR BRAYTON,20020626,14,BRAYTON
1896,MR GRAMLICH,20020626,4,GRAMLICH
1897,MR JORDAN,20020626,3,JORDAN
1898,MR BROADDUS,20020626,8,BROADDUS
1899,MR POOLE,20020626,9,POOLE
1900,MR FERGUSON,20020626,8,FERGUSON
1901,MS BIES,20020626,3,BIES
1902,MR OLSON,20020626,3,OLSON
1903,MR OLINER,20020626,3,OLINER
1904,MS JOHNSON,20020626,5,JOHNSON
1905,MR HOENIG,20020626,5,HOENIG
1906,MR STERN,20020626,4,STERN
1907,MR SANTOMERO,20020626,2,SANTOMERO
1908,MR BARRON,20020626,2,BARRON
1909,MR MCTEER,20020626,3,MCTEER
1910,MR KOHN,20020626,3,KOHN
1911,MR REINHART,20020626,12,REINHART
1912,MR BERNARD,20020626,2,BERNARD
1913,MR BERNARDC,20020626,1,BERNARDC
1914,CHAIRMAN GREENSPAN,20020813,74,GREENSPAN
1915,MR GUYNN,20020813,4,GUYNN
1916,VICE CHAIRMAN MCDONOUGH,20020813,10,MCDONOUGH
1917,MR FERGUSON,20020813,5,FERGUSON
1918,MR JORDAN,20020813,3,JORDAN
1919,MR KOHN,20020813,3,KOHN
1920,MR KOS,20020813,10,KOS
1921,MR REINHART,20020813,8,REINHART
1922,MS BIES,20020813,3,BIES
1923,MR PARRY,20020813,7,PARRY
1924,MR WILCOX,20020813,4,WILCOX
1925,MS JOHNSON,20020813,4,JOHNSON
1926,CHAIRMAN GREENSPAN,20020813,1,GREESPAN
1927,MR STOCKTON,20020813,1,STOCKTON
1928,MR MOSKOW,20020813,5,MOSKOW
1929,MR HOENIG,20020813,2,HOENIG
1930,MR POOLE,20020813,2,POOLE
1931,MR MCTEER,20020813,2,MCTEER
1932,MS MINEHAN,20020813,3,MINEHAN
1933,MR SANTOMERO,20020813,3,SANTOMERO
