Clean Names,Greeting,Position,date
Greenspan,Mr,chairman,19980818
McDonough,Mr,vice chairman,19980818
Ferguson,Mr,governor,19980818
Gramlich,Mr,governor,19980818
Hoenig,Mr,president,19980818
Jordan,Mr,president,19980818
Kelley,Mr,governor,19980818
Meyer,Mr,governor,19980818
Minehan,Ms,president,19980818
Poole,Mr,president,19980818
Rivlin,Ms,governor,19980818
Boehne,Mr,president,19980818
Mcteer,Mr,president,19980818
Moskow,Mr,president,19980818
Stern,Mr,president,19980818
Guynn,Mr,president,19980818
Parry,Mr,president,19980818
Kohn,Mr,secretary and economist,19980818
Bernard,Mr,deputy secretary,19980818
Fox,Ms,assistant secretary,19980818
Gillum,Mr,assistant secretary,19980818
Mattingly,Mr,general counsel,19980818
Baxter,Mr,deputy general counsel,19980818
Prell,Mr,economist,19980818
Truman,Mr,economist,19980818
Cecchetti,Mr,associate economist,19980818
Dewald,Mr,associate economist,19980818
Hakkio,Mr,associate economist,19980818
Lindsey,Mr,associate economist,19980818
Simspon,Mr,associate economist,19980818
Sniderman,Mr,associate economist,19980818
Stockton,Mr,associate economist,19980818
Fisher,Mr,system open market account manager,19980818
Ettin,Mr,deputy director,19980818
Madigan,Mr,associate director,19980818
Slifman,Mr,associate director,19980818
Hooper,Mr,associate director,19980818
Johnson,Ms,associate director,19980818
Reinhart,Mr,deputy associate director,19980818
Struckmeyer,Mr,assistant director,19980818
Low,Ms,open market secretariat assistant,19980818
Strand,Ms,first vice president,19980818
Varvel,Mr,first vice president,19980818
Beebe,Mr,senior vice president,19980818
Goodfriend,Mr,senior vice president,19980818
Rosenblum,Mr,senior vice president,19980818
Bolwell,Mr,vice president,19980818
King,Mr,vice president,19980818
Kopcke,Mr,vice president,19980818
Meyer,Mr,vice president,19980818
Sullivan,Mr,vice president,19980818
Weber,Mr,senior research officer,19980818
