Clean Names,Greeting,Position,date
Greenspan,Mr,chairman,19990518
McDonough,Mr,vice chairman,19990518
Boehne,Mr,president,19990518
Ferguson,Mr,governor,19990518
Gramlich,Mr,governor,19990518
Kelley,Mr,governor,19990518
McTeer,Mr,president,19990518
Meyer,Mr,governor,19990518
Moskow,Mr,president,19990518
Rivlin,Ms,governor,19990518
Stern,Mr,president,19990518
Broaddus,Mr,president,19990518
Guynn,Mr,president,19990518
Jordan,Mr,president,19990518
Parry,Mr,president,19990518
Hoenig,Mr,president,19990518
Minehan,Ms,president,19990518
Poole,Mr,president,19990518
Kohn,Mr,secretary and economist,19990518
Bernard,Mr,deputy secretary,19990518
Fox,Ms,assistant secretary,19990518
Gillum,Mr,assistant secretary,19990518
Mattingly,Mr,general counsel,19990518
Baxter,Mr,deputy general counsel,19990518
Johnson,Ms,economist,19990518
Prell,Mr,economist,19990518
Alexander,Mr,associate economist,19990518
Cecchetti,Mr,associate economist,19990518
Hooper,Mr,associate economist,19990518
Hunter,Mr,associate economist,19990518
Lang,Mr,associate economist,19990518
Lindsey,Mr,associate economist,19990518
Rolnick,Mr,associate economist,19990518
Stockton,Mr,associate economist,19990518
Rosenblum,Mr,associate economist,19990518
Slifman,Mr,associate economist,19990518
Fisher,Mr,system open market account manager,19990518
Madigan,Mr,associate director,19990518
Simpson,Mr,associate director,19990518
Reinhart,Mr,deputy associate director,19990518
Low,Ms,open market secretariat assistant,19990518
Connolly,Mr,first vice president,19990518
Browne,Ms,senior vice president,19990518
Krieger,Ms,senior vice president,19990518
Goodfriend,Mr,senior vice president,19990518
Hakkio,Mr,senior vice president,19990518
Sniderman,Mr,senior vice president,19990518
Cunningham,Mr,vice president,19990518
Gavin,Mr,vice president,19990518
Trehan,Mr,research officer,19990518
