Clean Names,Greeting,Position,date
Greenspan,Mr,chairman,20001115
McDonough,Mr,vice chairman,20001115
Broaddus,Mr,president,20001115
Ferguson,Mr,governor,20001115
Gramlich,Mr,governor,20001115
Guynn,Mr,president,20001115
Kelley,Mr,governor,20001115
Meyer,Mr,governor,20001115
Parry,Mr,president,20001115
Hoenig,Mr,president,20001115
Minehan,Ms,president,20001115
Moskow,Mr,president,20001115
Poole,Mr,president,20001115
Mcteer,Mr,president,20001115
Stern,Mr,president,20001115
Santomero,Mr,president,20001115
Kohn,Mr,secretary and economist,20001115
Bernard,Mr,deputy secretary,20001115
Gillum,Mr,assistant secretary,20001115
Fox,Ms,assistant secretary,20001115
Mattingly,Mr,general counsel,20001115
Johnson,Ms,economist,20001115
Stockton,Mr,economist,20001115
Cumming,Ms,associate economist,20001115
Eisenbeis,Mr,associate economist,20001115
Goodfriend,Mr,associate economist,20001115
Howard,Mr,associate economist,20001115
Lindsey,Mr,associate economist,20001115
Reinhart,Mr,associate economist,20001115
Simpson,Mr,associate economist,20001115
Sniderman,Mr,associate economist,20001115
Fisher,Mr,system open market account manager,20001115
Winn,Mr,assistant to the board,20001115
Ettin,Mr,deputy director,20001115
Madigan,Mr,associate director,20001115
Oliner,Mr,associate director,20001115
Slifman,Mr,associate director,20001115
Struckmeyer,Mr,associate director,20001115
Whitesell,Mr,assistant director,20001115
Low,Ms,open market secretariat assistant,20001115
Barron,Mr,first vice president,20001115
Pianalto,Ms,first vice president,20001115
Hakkio,Mr,senior vice president,20001115
Hunter,Mr,senior vice president,20001115
Mester,Ms,senior vice president,20001115
Rasche,Mr,senior vice president,20001115
Rolnick,Mr,senior vice president,20001115
Rosenblum,Mr,senior vice president,20001115
Fuhrer,Mr,vice president,20001115
Judd,Mr,vice president,20001115
Perelmuter,Ms,vice president,20001115
