Clean Names,Greeting,Position,date
Bernanke,Mr,chairman,20080916
Duke,Ms,governor,20080916
Fisher,Mr,president,20080916
Kohn,Mr,governor,20080916
Kroszner,Mr,governor,20080916
Pianalto,Ms,president,20080916
Plosser,Mr,president,20080916
Stern,Mr,president,20080916
Warsh,Mr,governor,20080916
Cumming,Ms,first vice president,20080916
Evans,Mr,president,20080916
Lacker,Mr,president,20080916
Lockart,Mr,president,20080916
Yellen,Ms,president,20080916
Bullard,Mr,president,20080916
Hoenig,Mr,president,20080916
Rosengren,Mr,president,20080916
Madigan,Mr,secretary and economist,20080916
Danker,Ms,deputy secretary,20080916
Smith,Ms,assistant secretary,20080916
Skidmore,Mr,assistant secretary,20080916
Alvarez,Mr,general counsel,20080916
Sheets,Mr,economist,20080916
Stockton,Mr,economist,20080916
Connors,Mr,associate economist,20080916
English,Mr,associate economist,20080916
Kamin,Mr,associate economist,20080916
Rosenblum,Mr,associate economist,20080916
Slifman,Mr,associate economist,20080916
Tracy,Mr,associate economist,20080916
Wilcox,Mr,associate economist,20080916
Dudley,Mr,system open market account manager,20080916
Cole,Mr,director,20080916
Clouse,Mr,deputy director,20080916
Parkinson,Mr,deputy director,20080916
Blanchard,Mr,assistant to the board,20080916
Struckmeyer,Mr,deputy staff director,20080916
Gagnon,Mr,visiting associate director,20080916
Reifschneider,Mr,associate director,20080916
Wascher,Mr,associate director,20080916
Oliner,Mr,senior adviser,20080916
Small,Mr,project manager,20080916
Luecke,Mr,section chief,20080916
Carlson,Mr,economist,20080916
Low,Ms,open makret secretariat specialist,20080916
Moore,Mr,first vice president,20080916
Judd,Mr,executive vice president,20080916
Altig,Mr,senior vice president,20080916
Baum,Ms,senior vice president,20080916
Rasche,Mr,senior vice president,20080916
Schweitzer,Mr,senior vice president,20080916
Sellon,Mr,senior vice president,20080916
Tootell,Mr,senior vice president,20080916
Krane,Mr,vice president,20080916
Chatterjee,Mr,senior economic adviser,20080916
Wolman,Mr,senior economist,20080916
