Clean Names,Greeting,Position,date
Bernanke,Mr,chairman,20130320
Dudley,Mr,vice chairman,20130320
Bullard,Mr,president,20130320
Duke,Ms,governor,20130320
Evans,Mr,president,20130320
George,Ms,president,20130320
Powell,Mr,governor,20130320
Raskin,Ms,governor,20130320
Rosengren,Mr,president,20130320
Stein,Mr,governor,20130320
Tarullo,Mr,governor,20130320
Yellen,Ms,president,20130320
Cumming,Ms,first vice president,20130320
Fisher,Mr,president,20130320
Kocherlakota,Mr,president,20130320
Pianalto,Ms,president,20130320
Plosser,Mr,president,20130320
Lacker,Mr,president,20130320
Lockhart,Mr,president,20130320
Williams,Mr,president,20130320
English,Mr,secretary and economist,20130320
Danker,Mr,deputy secretary,20130320
Luecke,Mr,assistant secretary,20130320
Skidmore,Mr,assistant secretary,20130320
Smith,Ms,assistant secretary,20130320
Alvarez,Mr,general counsel,20130320
Baxter,Mr,deputy general counsel,20130320
Kamin,Mr,economist,20130320
Wilcox,Mr,economist,20130320
Connors,Mr,associate economist,20130320
Davig,Mr,associate economist,20130320
Leahy,Mr,associate economist,20130320
Meyer,Mr,associate economist,20130320
Reifschneider,Mr,associate economist,20130320
Waller,Mr,associate economist,20130320
Wascher,Mr,associate economist,20130320
Potter,Mr,system open market account manger,20130320
Gibson,Mr,director,20130320
Liang,Ms,director,20130320
Clouse,Mr,deputy director,20130320
Nelson,Mr,deputy director,20130320
Faust,Mr,special adviser to the board,20130320
Robertson,Ms,assistant to the board,20130320
Carpenter,Mr,senior associate director,20130320
Meade,Ms,senior adviser,20130320
Engen,Mr,associate director,20130320
Laubach,Mr,associate director,20130320
Lebow,Mr,associate director,20130320
Palumbo,Mr,associate director,20130320
Bassett,Mr,deputy associate director,20130320
Tevlin,Ms,assistant director,20130320
Wei,Mr,assistant director,20130320
Rudd,Mr,adviser,20130320
Small,Mr,project manager,20130320
Stefani,Mr,first vice president,20130320
Altig,Mr,executive vice president,20130320
Mester,Ms,executive vice president,20130320
Rudebusch,Mr,executive vice president,20130320
Sniderman,Mr,executive vice president,20130320
Krane,Mr,senior vice president,20130320
Logan,Ms,senior vice president,20130320
Stiroh,Mr,senior vice president,20130320
Yi,Mr,senior vice president,20130320
Koenig,Mr,vice president,20130320
Mccarthy,Mr,vice president,20130320
Olivei,Mr,vice president,20130320
Remache,Ms,vice president,20130320
Hetzel,Mr,senior economist,20130320
