Clean Names,Greeting,Position,date
Miller,Mr,chairman,19780620
Volcker,Mr,vice chairman,19780620
Baughman,Mr,president,19780620
Coldwell,Mr,president,19780620
Eastburn,Mr,president,19780620
Gardner,Mr,governor,19780620
Jackson,Mr,governor,19780620
Partee,Mr,governor,19780620
Wallich,Mr,governor,19780620
Willes,Mr,president,19780620
Winn,Mr,president,19780620
Balles,Mr,president,19780620
Black,Mr,president,19780620
Kimbrel,Mr,president,19780620
Mayo,Mr,president,19780620
Guffey,Mr,president,19780620
Morris,Mr,president,19780620
Roos,Mr,president,19780620
Broida,Mr,secretary,19780620
Bernard,Mr,secretary,19780620
Oconnell,Mr,general counsel,19780620
Axilrod,Mr,economist,19780620
Burns,Mr,associate economist,19780620
J Davis,Mr,associate economist,19780620
R Davis,Mr,associate economist,19780620
Ettin,Mr,associate economist,19780620
Keir,Mr,associate economist,19780620
Kichline,Mr,associate economist,19780620
Paulus,Mr,associate economist,19780620
Truman,Mr,associate economist,19780620
Zeisel,Mr,associate economist,19780620
Holmes,Mr,manager,19780620
Pardee,Mr,deputy manager for foreign operations,19780620
Sternlight,Mr,deputy manager for domestic operations,19780620
Kalchbrenner,Mr,associate director,19780620
Siegman,Mr,associate director,19780620
Obrien,Mr,special assistant to the board of governors,19780620
Smith,Mr,chief,19780620
Farar,Ms,economist,19780620
Deck,Ms,staff assistant,19780620
Balbach,Mr,senior vice president,19780620
Boehne,Mr,senior vice president,19780620
T Davis,Mr,senior vice president,19780620
Eisenmenger,Mr,senior vice president,19780620
Scheld,Mr,senior vice president,19780620
Sims,Mr,senior vice president,19780620
Brandt,Mr,vice president,19780620
Broaddus,Mr,vice president,19780620
Ozog,Mr,manager,19780620
