Clean Names,Greeting,Position,date
Greenspan,Mr,chairman,19950822
McDonough,Mr,vice chairman,19950822
Blinder,Mr,governor,19950822
Hoenig,Mr,president,19950822
Kelley,Mr,governor,19950822
Lindsey,Mr,governor,19950822
Melzer,Mr,president,19950822
Minehan,Ms,president,19950822
Moskow,Mr,president,19950822
Phillips,Ms,governor,19950822
Yellen,Ms,governor,19950822
Boehne,Mr,president,19950822
Jordan,Mr,president,19950822
McTeer,Mr,president,19950822
Stern,Mr,president,19950822
Broaddus,Mr,president,19950822
Forrestal,Mr,president,19950822
Parry,Mr,president,19950822
Kohn,Mr,secretary and economist,19950822
Bernard,Mr,deputy secretary,19950822
Coyne,Mr,assistant secretary,19950822
Gillum,Mr,assistant secretary,19950822
Mattingly,Mr,general counsel,19950822
Baxter,Mr,deputy general counsel,19950822
Browne,Ms,associate economist,19950822
Davis,Mr,associate economist,19950822
Dewald,Mr,associate economist,19950822
Hunter,Mr,associate economist,19950822
Lindsey,Mr,associate economist,19950822
Mishkin,Mr,associate economist,19950822
Promisel,Mr,associate economist,19950822
Siegman,Mr,associate economist,19950822
Slifman,Mr,associate economist,19950822
Stockton,Mr,associate economist,19950822
Fisher,Mr,system open market account manager,19950822
Madigan,Mr,associate director,19950822
Simpson,Mr,associate director,19950822
Johnson,Ms,assistant director,19950822
Ramm,Mr,section chief,19950822
Low,Ms,open market secretariat assistant,19950822
Strand,Ms,first vice president,19950822
Beebe,Mr,senior vice president,19950822
Goodfriend,Mr,senior vice president,19950822
Rolnick,Mr,senior vice president,19950822
Rosenblum,Mr,senior vice president,19950822
Sniderman,Mr,senior vice president,19950822
Tschinkel,Ms,senior vice president,19950822
White,Ms,senior vice president,19950822
Meyer,Mr,vice president,19950822
