Clean Names,Greeting,Position,date
Greenspan,Mr,chairman,20050202
Geithner,Mr,vice chairman,20050202
Bernanke,Mr,governor,20050202
Bies,Ms,governor,20050202
Ferguson,Mr,governor,20050202
Gramlich,Mr,governor,20050202
Kohn,Mr,governor,20050202
Moskow,Mr,president,20050202
Olson,Mr,governor,20050202
Santomero,Mr,president,20050202
Stern,Mr,president,20050202
Guynn,Mr,president,20050202
Lacker,Mr,president,20050202
Pianalto,Ms,president,20050202
Yellen,Ms,president,20050202
Hoenig,Mr,president,20050202
Minehan,Ms,president,20050202
Poole,Mr,president,20050202
Holcomb,Ms,first vice president,20050202
Reinhart,Mr,secretary and economist,20050202
Danker,Ms,deputy secretary,20050202
Smith,Ms,assistant secretary,20050202
Alvarez,Mr,general counsel,20050202
Baxter,Mr,deputy general counsel,20050202
Johnson,Ms,economist,20050202
Stockton,Mr,economist,20050202
Connors,Mr,associate economist,20050202
Evans,Mr,associate economist,20050202
Howard,Mr,associate economist,20050202
Madigan,Mr,associate economist,20050202
Oliner,Mr,associate economist,20050202
Rolnick,Mr,associate economist,20050202
Tracy,Mr,associate economist,20050202
Wilcox,Mr,associate economist,20050202
Kos,Mr,manager,20050202
Ettin,Mr,deputy director,20050202
Slifman,Mr,associate director,20050202
Struckmeyer,Mr,associate director,20050202
Clouse,Mr,deputy associate director,20050202
Reifschneider,Mr,deputy associate director,20050202
Whitesell,Mr,deputy associate director,20050202
Elmendorf,Mr,assistant director,20050202
English,Mr,assistant director,20050202
Faust,Mr,assistant director,20050202
Leahy,Mr,assistant director,20050202
Simpson,Mr,senior adviser,20050202
Skidmore,Mr,special assistant,20050202
Small,Mr,project manager,20050202
Bassett,Mr,senior economist,20050202
Lebow,Mr,senior economist,20050202
Linder,Ms,senior economist,20050202
Rudd,Mr,senior economist,20050202
Tetlow,Mr,senior economist,20050202
Wood,Mr,senior economist,20050202
Durham,Mr,economist,20050202
Luecke,Mr,senior economist,20050202
Low,Ms,open market secretariat,20050202
Moore,Mr,first vice president,20050202
Judd,Mr,executive vice president,20050202
Eisenbeis,Mr,senior vice president,20050202
Fuhrer,Mr,senior vice president,20050202
Goodfriend,Mr,senior vice president,20050202
Hakkio,Mr,senior vice president,20050202
Rasche,Mr,senior vice president,20050202
Altig,Mr,vice president,20050202
Dotsey,Mr,vice president,20050202
Hargraves,Ms,vice president,20050202
Wynne,Mr,vice president,20050202
