Clean Names,Greeting,Position,date
Miller,Mr,chairman,19780321
Volcker,Mr,vice chairman,19780321
Baughman,Mr,president,19780321
Coldwell,Mr,president,19780321
Eastburn,Mr,president,19780321
Jackson,Mr,governor,19780321
Partee,Mr,governor,19780321
Wallich,Mr,governor,19780321
Willes,Mr,president,19780321
Winn,Mr,president,19780321
Balles,Mr,president,19780321
Black,Mr,president,19780321
Kimbrel,Mr,president,19780321
Mayo,Mr,president,19780321
Roos,Mr,president,19780321
Broida,Mr,secretary,19780321
Altmann,Mr,deputy secretary,19780321
Bernard,Mr,secretary,19780321
Oconnell,Mr,general counsel,19780321
Axilrod,Mr,economist,19780321
Burns,Mr,associate economist,19780321
J Davis,Mr,associate economist,19780321
Ettin,Mr,associate economist,19780321
Keir,Mr,associate economist,19780321
Kichline,Mr,associate economist,19780321
Paulus,Mr,associate economist,19780321
Truman,Mr,associate economist,19780321
Zeisel,Mr,associate economist,19780321
Holmes,Mr,manager,19780321
Pardee,Mr,deputy manager for foreign operations,19780321
Sternlight,Mr,deputy manager for domestic operations,19780321
Coyne,Mr,assistant to the board of governors,19780321
Smith,Mr,chief,19780321
Farar,Ms,economist,19780321
Deck,Ms,staff assistant,19780321
Balbach,Mr,senior vice president,19780321
Boehne,Mr,senior vice president,19780321
Eisenmenger,Mr,senior vice president,19780321
Scheld,Mr,senior vice president,19780321
Sims,Mr,senior vice president,19780321
Brandt,Mr,vice president,19780321
Broaddus,Mr,vice president,19780321
T Davis,Mr,vice president,19780321
Fousek,Mr,vice president,19780321
Clarkin,Ms,securities trading officer,19780321
