Clean Names,Greeting,Position,date
Greenspan,Mr,chairman,19950201
McDonough,Mr,vice chairman,19950201
Blinder,Mr,governor,19950201
Hoenig,Mr,president,19950201
Kelley,Mr,governor,19950201
Laware,Mr,governor,19950201
Lindsey,Mr,governor,19950201
Melzer,Mr,president,19950201
Minehan,Ms,president,19950201
Moskow,Mr,president,19950201
Phillips,Ms,governor,19950201
Yellen,Ms,governor,19950201
Boehne,Mr,president,19950201
Jordan,Mr,president,19950201
McTeer,Mr,president,19950201
Stern,Mr,president,19950201
Broaddus,Mr,president,19950201
Forrestal,Mr,president,19950201
Parry,Mr,president,19950201
Kohn,Mr,secretary and economist,19950201
Bernard,Mr,deputy secretary,19950201
Coyne,Mr,assistant secretary,19950201
Gillum,Mr,assistant secretary,19950201
Mattingly,Mr,general counsel,19950201
Patrikis,Mr,deputy general counsel,19950201
Prell,Mr,economist,19950201
Truman,Mr,economist,19950201
Davis,Mr,associate economist,19950201
Dewald,Mr,associate economist,19950201
Lindsey,Mr,associate economist,19950201
Mishkin,Mr,associate economist,19950201
Promisel,Mr,associate economist,19950201
Siegman,Mr,associate economist,19950201
Slifman,Mr,associate economist,19950201
Stockton,Mr,associate economist,19950201
Fisher,Mr,system open market account manager,19950201
Ettin,Mr,deputy director,19950201
Madigan,Mr,associate director,19950201
Simpson,Mr,associate director,19950201
Winn,Mr,assistant to the board,19950201
Hooper,Mr,assistant director,19950201
Reinhart,Mr,assistant director,19950201
Rosine,Mr,senior economist,19950201
English,Mr,economist,19950201
Freeman,Mr,section chief,19950201
Oday,Ms,associate general counsel,19950201
Baer,Mr,managing senior counsel,19950201
Misback,Ms,managing senior counsel,19950201
Ely,Mr,senior attorney,19950201
Low,Ms,open market secretariat assistant,19950201
Barron,Mr,first vice president,19950201
Rasdall,Mr,first vice president,19950201
Beebe,Mr,senior vice president,19950201
Goodfriend,Mr,senior vice president,19950201
Lang,Mr,senior vice president,19950201
Rosenblum,Mr,senior vice president,19950201
Sniderman,Mr,senior vice president,19950201
Tschinkel,Ms,senior vice president,19950201
McNees,Mr,vice president,19950201
Miller,Mr,vice president,19950201
Evans,Mr,assistant vice president,19950201
Krieger,Ms,assistant vice president,19950201
