Clean Names,Greeting,Position,date
Bernanke,Mr,chairman,20130130
Dudley,Mr,vice chairman,20130130
Bullard,Mr,president,20130130
Duke,Ms,governor,20130130
Evans,Mr,president,20130130
George,Ms,president,20130130
Powell,Mr,governor,20130130
Raskin,Ms,governor,20130130
Rosengren,Mr,president,20130130
Stein,Mr,governor,20130130
Tarullo,Mr,governor,20130130
Yellen,Ms,president,20130130
Cumming,Ms,first vice president,20130130
Fisher,Mr,president,20130130
Kocherlakota,Mr,president,20130130
Pianalto,Ms,president,20130130
Plosser,Mr,president,20130130
Lacker,Mr,president,20130130
Lockhart,Mr,president,20130130
Williams,Mr,president,20130130
English,Mr,secretary and economist,20130130
Danker,Mr,deputy secretary,20130130
Luecke,Mr,assistant secretary,20130130
Skidmore,Mr,assistant secretary,20130130
Smith,Ms,assistant secretary,20130130
Alvarez,Mr,general counsel,20130130
Baxter,Mr,deputy general counsel,20130130
Kamin,Mr,economist,20130130
Wilcox,Mr,economist,20130130
Connors,Mr,associate economist,20130130
Davig,Mr,associate economist,20130130
Leahy,Mr,associate economist,20130130
Mcandrews,Mr,associate economist,20130130
Meyer,Mr,associate economist,20130130
Reifschneider,Mr,associate economist,20130130
Sullivan,Mr,associate economist,20130130
Waller,Mr,associate economist,20130130
Wascher,Mr,associate economist,20130130
Potter,Mr,system open market account manager,20130130
Liang,Ms,director,20130130
Faust,Mr,special adviser to the board,20130130
Clouse,Mr,deputy director,20130130
Nelson,Mr,deputy director,20130130
Van der weide,Mr,deputy director,20130130
Robertson,Ms,assistant to the board,20130130
Zickler,Ms,senior adviser,20130130
Engen,Mr,associate director,20130130
Laubach,Mr,associate director,20130130
Lebow,Mr,associate director,20130130
Wilson,Ms,deputy associate director,20130130
Pence,Mr,assistant director,20130130
Tevlin,Ms,assistant director,20130130
Rudd,Mr,adviser,20130130
Small,Mr,project manager,20130130
Figura,Mr,group manager,20130130
Driscoll,Mr,senior economist,20130130
Roush,Ms,senior economist,20130130
Judson,Ms,senior economist,20130130
Rose,Mr,economist,20130130
Green,Ms,first vice president,20130130
Altig,Mr,executive vice president,20130130
Fuhrer,Mr,executive vice president,20130130
Mester,Ms,executive vice president,20130130
Rudebusch,Mr,executive vice president,20130130
Sniderman,Mr,executive vice president,20130130
Feldman,Mr,senior vice president,20130130
Logan,Ms,senior vice president,20130130
Koenig,Mr,vice president,20130130
Friedman,Mr,vice president,20130130
Raskin,Mr,markets officer,20130130
Hetzel,Mr,senior economist,20130130
