Clean Names,Greeting,Position,date
Yellen,Ms,chair,20160921
Dudley,Mr,vice chairman,20160921
Brainard,Ms,governor,20160921
Bullard,Mr,president,20160921
Fischer,Mr,president,20160921
George,Ms,president,20160921
Mester,Ms,president,20160921
Powell,Mr,governor,20160921
Rosengren,Mr,president,20160921
Tarullo,Mr,governor,20160921
Evans,Mr,president,20160921
Harker,Mr,president,20160921
Kaplan,Mr,president,20160921
Kashkari,Mr,president,20160921
Strine,Mr,first vice president,20160921
Lacker,Mr,president,20160921
Lockhart,Mr,president,20160921
Williams,Mr,president,20160921
Madigan,Mr,secretary,20160921
Luecke,Mr,deputy secretary,20160921
Skidmore,Mr,assistant secretary,20160921
Smith,Ms,assistant secretary,20160921
Held,Mr,deputy general counsel,20160921
Ashton,Mr,assistant general counsel,20160921
Kamin,Mr,economist,20160921
Laubach,Mr,economist,20160921
Wilcox,Mr,economist,20160921
Connors,Mr,associate economist,20160921
Davig,Mr,associate economist,20160921
Leahy,Mr,associate economist,20160921
Meyer,Mr,associate economist,20160921
Tallman,Mr,associate economist,20160921
Tootell,Mr,associate economist,20160921
Wascher,Mr,associate economist,20160921
Potter,Mr,system open market account manager,20160921
Logan,Ms,deputy manager,20160921
Frierson,Mr,secretary of the board,20160921
Eichner,Mr,director,20160921
Clouse,Mr,deputy director,20160921
Hunter,Ms,deputy director,20160921
Bowman,Mr,special adviser to the board,20160921
Figura,Mr,special adviser to the board,20160921
Gruber,Mr,special adviser to the board,20160921
Mckeehan,Ms,special adviser to the board,20160921
Reifschneider,Mr,special adviser to the board,20160921
Reeve,Mr,special adviser to the chair,20160921
Robertson,Ms,assistant to the board,20160921
Engen,Mr,senior associate director,20160921
Gallin,Mr,senior associate director,20160921
Palumbo,Mr,senior associate director,20160921
Kiley,Mr,senior associate director,20160921
Bomfim,Mr,senior adviser,20160921
Meade,Ms,senior adviser,20160921
Zickler,Ms,senior adviser,20160921
Lopez-Salido,Mr,associate director,20160921
Klee,Ms,assistant director,20160921
Wu,Mr,assistant director,20160921
Sherlund,Mr,assistant director,20160921
Wood,Mr,assistant director,20160921
Beattie,Ms,assistant to the secretary,20160921
Small,Mr,project manager,20160921
Allison,Ms,special counsel,20160921
Goldberg,Mr,senior economist,20160921
Vazquez-Grande,Mr,senior economist,20160921
Dozier,Mr,senior financial analyst,20160921
Williams,Mr,information manager,20160921
Gould,Mr,first vice president,20160921
Altig,Mr,executive vice president,20160921
Athreya,Mr,executive vice president,20160921
Sullivan,Mr,executive vice president,20160921
Daly,Ms,senior vice president,20160921
Koenig,Mr,senior vice president,20160921
Mclaughlin,Ms,senior vice president,20160921
Pesenti,Mr,senior vice president,20160921
Andolfatto,Mr,vice president,20160921
Tallarini,Mr,assistant vice president,20160921
Chatterjee,Mr,senior economic advisor,20160921
Hull,Ms,markets officer,20160921
