Clean Names,Greeting,Position,date
Bernanke,Mr,chairman,20081216
Duke,Ms,governor,20081216
Fisher,Mr,president,20081216
Kohn,Mr,governor,20081216
Kroszner,Mr,governor,20081216
Pianalto,Ms,president,20081216
Plosser,Mr,president,20081216
Stern,Mr,president,20081216
Warsh,Mr,governor,20081216
Cumming,Ms,first vice president,20081216
Evans,Mr,president,20081216
Lacker,Mr,president,20081216
Lockart,Mr,president,20081216
Yellen,Ms,president,20081216
Bullard,Mr,president,20081216
Hoenig,Mr,president,20081216
Rosengren,Mr,president,20081216
Madigan,Mr,secretary and economist,20081216
Danker,Ms,deputy secretary,20081216
Smith,Ms,assistant secretary,20081216
Skidmore,Mr,assistant secretary,20081216
Alvarez,Mr,general counsel,20081216
Ashton,Mr,assistant general counsel,20081216
Sheets,Mr,economist,20081216
Stockton,Mr,economist,20081216
Connors,Mr,associate economist,20081216
English,Mr,associate economist,20081216
Kamin,Mr,associate economist,20081216
Mester,Ms,associate economist,20081216
Rolnick,Mr,associate economist,20081216
Rosenblum,Mr,associate economist,20081216
Slifman,Mr,associate economist,20081216
Wilcox,Mr,associate economist,20081216
Dudley,Mr,system open market account manager,20081216
Johnson,Ms,secretary and economist,20081216
Cole,Mr,director,20081216
Frierson,Mr,deputy secretary,20081216
Blanchard,Mr,assistant to the board,20081216
Struckmeyer,Mr,deputy staff director,20081216
Clouse,Mr,deputy director,20081216
Parkinson,Mr,deputy director,20081216
Leahy,Mr,associate director,20081216
Nelson,Mr,associate director,20081216
Reifschneider,Mr,associate director,20081216
Wascher,Mr,associate director,20081216
Gagnon,Mr,visiting associate director,20081216
Shanks,Ms,associate secretary,20081216
Perli,Mr,deputy associate director,20081216
Reeve,Mr,deputy associate director,20081216
Covitz,Mr,assistant director,20081216
Goldberg,Ms,visiting reserve bank officer,20081216
Zakrajsek,Mr,assistant director,20081216
Meyer,Mr,senior adviser,20081216
Oliner,Mr,senior adviser,20081216
Small,Mr,project manager,20081216
Ahmed,Mr,section chief,20081216
Luecke,Mr,section chief,20081216
Aaronson,Ms,senior economist,20081216
Gapen,Mr,economist,20081216
Mccabe,Mr,economist,20081216
Beattie,Ms,assistant to the secretary,20081216
