Clean Names,Greeting,Position,date
Bernanke,Mr,chairman,20130918
Dudley,Mr,vice chairman,20130918
Bullard,Mr,president,20130918
Duke,Ms,governor,20130918
Evans,Mr,president,20130918
George,Ms,president,20130918
Powell,Mr,governor,20130918
Rosengren,Mr,governor,20130918
Stein,Mr,president,20130918
Tarullo,Mr,governor,20130918
Yellen,Ms,governor,20130918
Cumming,Ms,president,20130918
Fisher,Mr,first vice president,20130918
Kocherlakota,Mr,president,20130918
Pianalto,Ms,president,20130918
Plosser,Mr,president,20130918
Lacker,Mr,president,20130918
Lockhart,Mr,president,20130918
Williams,Mr,president,20130918
Danker,Ms,deputy secretary,20130918
Luecke,Mr,assistant secretary,20130918
Skidmore,Mr,assistant secretary,20130918
Smith,Ms,assistant secretary,20130918
Alvarez,Mr,general counsel,20130918
Kamin,Mr,economist,20130918
Wilcox,Mr,economist,20130918
Connors,Mr,associate economist,20130918
Davig,Mr,associate economist,20130918
Leahy,Mr,associate economist,20130918
Meyer,Mr,associate economist,20130918
Tootell,Mr,associate economist,20130918
Waller,Mr,associate economist,20130918
Wascher,Mr,associate economist,20130918
Potter,Mr,system open market account manager,20130918
Gibson,Mr,director,20130918
Liang,Ms,director,20130918
Clouse,Mr,deputy director,20130918
Nelson,Mr,deputy director,20130918
Faust,Mr,special adviser to the board,20130918
Robertson,Ms,assistant to the board,20130918
Meade,Ms,senior adviser,20130918
Zickler,Ms,senior adviser,20130918
Engen,Mr,associate director,20130918
Kiley,Mr,associate director,20130918
Laubach,Mr,associate director,20130918
Lebow,Mr,associate director,20130918
Palumbo,Mr,associate director,20130918
Natalucci,Mr,associate director,20130918
Gallin,Mr,deputy associate director,20130918
Rudd,Mr,adviser,20130918
Gust,Mr,section chief,20130918
Klee,Ms,section chief,20130918
Werkema,Mr,first vice president,20130918
Altig,Mr,executive vice president,20130918
Mester,Ms,executive vice president,20130918
Rosenblum,Mr,executive vice president,20130918
Hansen,Ms,senior vice president,20130918
Koenig,Mr,senior vice president,20130918
Krane,Mr,senior vice president,20130918
Logan,Ms,senior vice president,20130918
Schweitzer,Mr,senior vice president,20130918
Weinberg,Mr,senior vice president,20130918
Yi,Mr,senior vice president,20130918
Burke,Mr,vice president,20130918
Mccarthy,Mr,vice president,20130918
Swanson,Mr,senior research advisor,20130918
