Clean Names,Greeting,Position,date
Greenspan,Mr,chairman,19940816
McDonough,Mr,vice chairman,19940816
Blinder,Mr,governor,19940816
Broaddus,Mr,president,19940816
Forrestal,Mr,president,19940816
Jordan,Mr,president,19940816
Kelley,Mr,governor,19940816
Laware,Mr,governor,19940816
Lindsey,Mr,governor,19940816
Parry,Mr,president,19940816
Phillips,Ms,governor,19940816
Yellen,Ms,governor,19940816
Conrad,Mr,first vice president,19940816
Hoenig,Mr,first vice president,19940816
Melzer,Mr,president,19940816
Minehan,Ms,president,19940816
Boehne,Mr,president,19940816
McTeer,Mr,president,19940816
Stern,Mr,president,19940816
Kohn,Mr,secretary and economist,19940816
Bernard,Mr,deputy secretary,19940816
Coyne,Mr,assistant secretary,19940816
Gillum,Mr,assistant secretary,19940816
Mattingly,Mr,general counsel,19940816
Patrikis,Mr,deputy general counsel,19940816
Prell,Mr,economist,19940816
Truman,Mr,economist,19940816
Beebe,Mr,associate economist,19940816
Goodfriend,Mr,associate economist,19940816
Lindsey,Mr,associate economist,19940816
Promisel,Mr,associate economist,19940816
Siegman,Mr,associate economist,19940816
Simpson,Mr,associate economist,19940816
Stockton,Mr,associate economist,19940816
Tschinkel,Ms,associate economist,19940816
Lovett,Ms,manager for domestic operations,19940816
Fisher,Mr,manager for foreign operations,19940816
Ettin,Mr,deputy director,19940816
Slifman,Mr,associate director,19940816
Madigan,Mr,associate director,19940816
Low,Ms,open market secretariat assistant,19940816
Bennett,Mr,senior vice president,19940816
Davis,Mr,senior vice president,19940816
Dewald,Mr,senior vice president,19940816
Rosenblum,Mr,senior vice president,19940816
Vander Wilt,Mr,senior vice president,19940816
McNees,Mr,vice president,19940816
Meyer,Mr,vice president,19940816
Sniderman,Mr,vice president,19940816
Meulendyke,Ms,assistant vice president,19940816
Weber,Mr,senior research officer,19940816
