Clean Names,Greeting,Position,date
Bernanke,Mr,chairman,20121212
Dudley,Mr,vice chairman,20121212
Duke,Ms,governor,20121212
Lacker,Mr,president,20121212
Lockhart,Mr,president,20121212
Pianalto,Ms,president,20121212
Powell,Mr,governor,20121212
Raskin,Ms,governor,20121212
Stein,Mr,governor,20121212
Tarullo,Mr,governor,20121212
Williams,Mr,president,20121212
Yellen,Ms,president,20121212
Bullard,Mr,president,20121212
Cumming,Ms,first vice president,20121212
Evans,Mr,president,20121212
George,Ms,president,20121212
Rosengren,Mr,president,20121212
Fisher,Mr,president,20121212
Kocherlakota,Mr,president,20121212
Plosser,Mr,president,20121212
English,Mr,secretary and economist,20121212
Danker,Ms,deputy secretary,20121212
Luecke,Mr,assistant secretary,20121212
Smith,Ms,assistant secretary,20121212
Alvarez,Mr,general counsel,20121212
Kamin,Mr,economist,20121212
Wilcox,Mr,economist,20121212
Altig,Mr,associate economist,20121212
Connors,Mr,associate economist,20121212
Leahy,Mr,associate economist,20121212
Nelson,Mr,associate economist,20121212
Reifschneider,Mr,associate economist,20121212
Wascher,Mr,associate economist,20121212
Potter,Mr,system open market account manager,20121212
Liang,Ms,director,20121212
Faust,Mr,special adviser to the board,20121212
Clouse,Mr,deputy director,20121212
Meyer,Mr,deputy director,20121212
Hunter,Ms,deputy director,20121212
Robertson,Ms,assistant to the board,20121212
Meade,Ms,senior adviser,20121212
Sickler,Ms,senior adviser,20121212
Engen,Mr,associate director,20121212
Laubach,Mr,associate director,20121212
Lebow,Mr,associate director,20121212
Kiley,Mr,associate director,20121212
Gallin,Mr,deputy associate director,20121212
Ihrig,Mr,deputy associate director,20121212
Wilson,Ms,deputy associate director,20121212
Small,Mr,project manager,20121212
Roush,Ms,senior economist,20121212
Gooding,Ms,first vice president,20121212
Mester,Ms,executive vice president,20121212
Sullivan,Mr,executive vice president,20121212
Davig,Mr,senior vice president,20121212
Schweitzer,Mr,senior vice president,20121212
Tootell,Mr,senior vice president,20121212
Waller,Mr,senior vice president,20121212
Yi,Mr,senior vice president,20121212
Daly,Ms,group vice president,20121212
Koenig,Mr,vice president,20121212
Logan,Ms,vice president,20121212
Remache,Ms,vice president,20121212
Wolman,Mr,vice president,20121212
Wuerffel,Mr,vice president,20121212
Sbordone,Ms,assistant vice president,20121212
