Clean Names,Greeting,Position,date
Bernanke,Mr,chairman,20120801
Dudley,Mr,vice chairman,20120801
Duke,Ms,governor,20120801
Lacker,Mr,president,20120801
Lockhart,Mr,president,20120801
Pianalto,Ms,president,20120801
Powell,Mr,governor,20120801
Raskin,Ms,governor,20120801
Stein,Mr,governor,20120801
Tarullo,Mr,governor,20120801
Williams,Mr,president,20120801
Yellen,Ms,president,20120801
Bullard,Mr,president,20120801
Cumming,Ms,first vice president,20120801
Evans,Mr,president,20120801
George,Ms,president,20120801
Rosengren,Mr,president,20120801
Fisher,Mr,president,20120801
Kocherlakota,Mr,president,20120801
Plosser,Mr,president,20120801
English,Mr,secretary and economist,20120801
Danker,Ms,deputy secretary,20120801
Luecke,Mr,assistant secretary,20120801
Skidmore,Mr,assistant secretary,20120801
Smith,Ms,assistant secretary,20120801
Alvarez,Mr,general counsel,20120801
Baxter,Mr,deputy general counsel,20120801
Kamin,Mr,economist,20120801
Wilcox,Mr,economist,20120801
Altig,Mr,associate economist,20120801
Connors,Mr,associate economist,20120801
Leahy,Mr,associate economist,20120801
Mcandrews,Mr,associate economist,20120801
Nelson,Mr,associate economist,20120801
Reifschneider,Mr,associate economist,20120801
Wascher,Mr,associate economist,20120801
Potter,Mr,system open market account manager,20120801
Gibson,Mr,director,20120801
Liang,Ms,director,20120801
Faust,Mr,special adviser to the board,20120801
Levin,Mr,special adviser to the board,20120801
Clouse,Mr,deputy director,20120801
Robertson,Ms,assistant to the board,20120801
Carpenter,Mr,senior associate director,20120801
Laubach,Mr,senior adviser,20120801
Zickler,Ms,senior adviser,20120801
Kiley,Mr,associate director,20120801
Lebow,Mr,associate director,20120801
Pence,Ms,assistant director,20120801
Small,Mr,project manager,20120801
Klee,Ms,senior economist,20120801
Tetlow,Mr,senior economist,20120801
Sapenaro,Mr,first vice president,20120801
Fuhrer,Mr,executive vice president,20120801
Sullivan,Mr,executive vice president,20120801
Davig,Mr,senior vice president,20120801
Waller,Ms,senior vice president,20120801
Glick,Mr,group vice president,20120801
Clark,Mr,vice president,20120801
Logan,Ms,vice president,20120801
Sill,Mr,vice president,20120801
Wynne,Mr,vice president,20120801
Hetzel,Mr,senior economist,20120801
Schulhofer-Whol,Mr,senior economist,20120801
