Clean Names,Greeting,Position,date
Greenspan,Mr,chairman,19950328
McDonough,Mr,vice chairman,19950328
Blinder,Mr,governor,19950328
Hoenig,Mr,president,19950328
Kelley,Mr,governor,19950328
Lindsey,Mr,governor,19950328
Melzer,Mr,president,19950328
Minehan,Ms,president,19950328
Moskow,Mr,president,19950328
Phillips,Ms,governor,19950328
Yellen,Ms,governor,19950328
Boehne,Mr,president,19950328
Jordan,Mr,president,19950328
McTeer,Mr,president,19950328
Stern,Mr,president,19950328
Broaddus,Mr,president,19950328
Forrestal,Mr,president,19950328
Parry,Mr,president,19950328
Kohn,Mr,secretary and economist,19950328
Bernard,Mr,deputy secretary,19950328
Coyne,Mr,assistant secretary,19950328
Gillum,Mr,assistant secretary,19950328
Mattingly,Mr,general counsel,19950328
Baxter,Mr,deputy general counsel,19950328
Prell,Mr,economist,19950328
Truman,Mr,economist,19950328
Browne,Ms,associate economist,19950328
Davis,Mr,associate economist,19950328
Hunter,Mr,associate economist,19950328
Lindsey,Mr,associate economist,19950328
Mishkin,Mr,associate economist,19950328
Promisel,Mr,associate economist,19950328
Siegman,Mr,associate economist,19950328
Slifman,Mr,associate economist,19950328
Stockton,Mr,associate economist,19950328
Fisher,Mr,system open market account manager,19950328
Ettin,Mr,deputy director,19950328
Madigan,Mr,associate director,19950328
Simpson,Mr,associate director,19950328
Low,Ms,open market secretariat assistant,19950328
Goodfriend,Mr,senior vice president,19950328
Lang,Mr,senior vice president,19950328
Rolnick,Mr,senior vice president,19950328
Rosenblum,Mr,senior vice president,19950328
Sniderman,Mr,senior vice president,19950328
Kos,Mr,vice president,19950328
Judd,Mr,vice president,19950328
Rosenbaum,Ms,vice president,19950328
Thornton,Mr,assistant vice president,19950328
